Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
030303.672   843602134   991847223
030315.668   845116815   993628485
030327.668   846627299   995404863
030339.668   848133386   997177676
030351.668   849649983   998959303
030403.672   851163810  1000738043
030415.666   852677508  1002516731
030427.668   854189039  1004294529
030439.668   855698673  1006070942
030451.668   857208601  1007847924
030503.668   858724677  1009630642
030515.668   860389909  1011588900
030527.668   862029632  1013516757
030539.668   863541057  1015293458
030551.672   865055999  1017075694
030603.668   866568526  1018851288
030615.668   868077843  1020627762
030627.668   869593645  1022409100
030639.668   871102325  1024183870
030651.672   872611252  1025959747
030703.672   874128629  1027742100
030715.668   875620432  1029498316
030727.668   877126343  1031268536
030739.668   878627548  1033031675
030751.668   880121201  1034789561
030803.668   881619507  1036552111
030815.668   883105538  1038299988
030827.668   884592969  1040050059
030839.672   886072221  1041790429
030851.672   887561009  1043538691
030903.668   889057923  1045298900
030915.668   890549488  1047054086
030927.668   892035680  1048801391
030939.668   893524170  1050552740
030951.672   895009161  1052298683
031003.668   896490226  1054040860
031015.668   897987963  1055801966
031027.668   899487220  1057565704
031039.666   900960570  1059299571
031051.668   902442336  1061041400
031103.668   903924676  1062783121
031115.668   905420157  1064541213
031127.668   907035460  1066440580
031139.668   908736035  1068442151
031151.668   910432473  1070434402
031203.668   912137354  1072435811
031215.672   913839019  1074435822
031227.668   915533421  1076430656
031239.672   917232739  1078430935
031251.672   918929788  1080425831
031303.668   920444503  1082207885
031315.675   921956966  1083986125
031327.672   923465232  1085760897
031339.668   924999618  1087563896
