Vanadium rnace avelenght calibration                         26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   483.0000       52868.00       229.9304    
   484.0000       51833.00       227.6686    
   485.0000       52062.00       228.1710    
   486.0000       53182.00       230.6122    
   487.0000       53794.00       231.9353    
   488.0000       52162.00       228.3900    
   489.0000       56216.00       237.0991    
   490.0000       51814.00       227.6269    
   491.0000       51544.00       227.0330    
   492.0000       54623.00       233.7156    
   493.0000       52396.00       228.9017    
   494.0000       53477.00       231.2509    
   495.0000       53280.00       230.8246    
   496.0000       53645.00       231.6139    
   497.0000       54787.00       234.0662    
   498.0000       53061.00       230.3497    
   499.0000       53906.00       232.1767    
   500.0000       52242.00       228.5651    
   501.0000       52054.00       228.1535    
   502.0000       52163.00       228.3922    
   503.0000       52009.00       228.0548    
   504.0000       53221.00       230.6968    
   505.0000       55105.00       234.7445    
   506.0000       54490.00       233.4309    
   507.0000       55140.00       234.8191    
   508.0000       52851.00       229.8934    
   509.0000       55871.00       236.3705    
   510.0000       51411.00       226.7399    
   511.0000       53836.00       232.0259    
   512.0000       54369.00       233.1716    
   513.0000       51568.00       227.0859    
   514.0000       53521.00       231.3461    
   515.0000       54007.00       232.3941    
   516.0000       54428.00       233.2981    
   517.0000       55006.00       234.5336    
   518.0000       53623.00       231.5664    
   519.0000       54466.00       233.3795    
   520.0000       58056.00       240.9481    
   521.0000       52048.00       228.1403    
   522.0000       53033.00       230.2890    
   523.0000       54191.00       232.7896    
   524.0000       53372.00       231.0238    
   525.0000       53745.00       231.8297    
   526.0000       54390.00       233.2166    
   527.0000       55742.00       236.0974    
   528.0000       52563.00       229.2662    
   529.0000       56963.00       238.6692    
   530.0000       52479.00       229.0830    
   531.0000       53972.00       232.3187    
   532.0000       54356.00       233.1437    
   533.0000       53270.00       230.8029    
   534.0000       53091.00       230.4148    
   535.0000       52229.00       228.5367    
   536.0000       56632.00       237.9748    
   537.0000       55309.00       235.1786    
   538.0000       52787.00       229.7542    
   539.0000       53549.00       231.4066    
   540.0000       54351.00       233.1330    
   541.0000       52672.00       229.5038    
   542.0000       53861.00       232.0797    
   543.0000       54741.00       233.9679    
   544.0000       54335.00       233.0987    
   545.0000       54799.00       234.0919    
   546.0000       54525.00       233.5059    
   547.0000       55871.00       236.3705    
   548.0000       53997.00       232.3725    
   549.0000       56990.00       238.7258    
   550.0000       52866.00       229.9261    
   551.0000       53537.00       231.3806    
   552.0000       54552.00       233.5637    
   553.0000       53395.00       231.0736    
   554.0000       54373.00       233.1802    
   555.0000       53505.00       231.3115    
   556.0000       54543.00       233.5444    
   557.0000       54927.00       234.3651    
   558.0000       52660.00       229.4777    
   559.0000       48492.00       220.2090    
   560.0000       51473.00       226.8766    
   561.0000       52531.00       229.1964    
   562.0000       52225.00       228.5279    
   563.0000       53104.00       230.4431    
   564.0000       53782.00       231.9095    
   565.0000       54087.00       232.5661    
   566.0000       53906.00       232.1767    
   567.0000       53955.00       232.2822    
   568.0000       51499.00       226.9339    
   569.0000       55021.00       234.5656    
   570.0000       49641.00       222.8026    
   571.0000       50520.00       224.7665    
   572.0000       54144.00       232.6886    
   573.0000       52371.00       228.8471    
   574.0000       53117.00       230.4713    
   575.0000       51732.00       227.4467    
   576.0000       52257.00       228.5979    
   577.0000       52839.00       229.8674    
   578.0000       50035.00       223.6850    
   579.0000       43143.00       207.7089    
   580.0000       50838.00       225.4728    
   581.0000       50863.00       225.5283    
   582.0000       51208.00       226.2918    
   583.0000       52181.00       228.4316    
   584.0000       52529.00       229.1921    
   585.0000       52016.00       228.0702    
   586.0000       50721.00       225.2132    
   587.0000       52602.00       229.3513    
   588.0000       50355.00       224.3992    
   589.0000       53740.00       231.8189    
   590.0000       48981.00       221.3165    
   591.0000       48253.00       219.6656    
   592.0000       50860.00       225.5216    
   593.0000       47435.00       217.7958    
   594.0000       48351.00       219.8886    
   595.0000       49903.00       223.3898    
   596.0000       49719.00       222.9776    
   597.0000       46651.00       215.9884    
   598.0000       47276.00       217.4305    
   599.0000       45881.00       214.1985    
   600.0000       50066.00       223.7543    
   601.0000       47011.00       216.8202    
   602.0000       47324.00       217.5408    
   603.0000       48548.00       220.3361    
   604.0000       48166.00       219.4675    
   605.0000       47965.00       219.0091    
   606.0000       46053.00       214.5996    
   607.0000       47633.00       218.2499    
   608.0000       47300.00       217.4856    
   609.0000       48534.00       220.3043    
   610.0000       45224.00       212.6593    
   611.0000       46394.00       215.3927    
   612.0000       46923.00       216.6172    
   613.0000       45317.00       212.8779    
   614.0000       44858.00       211.7971    
   615.0000       45155.00       212.4971    
   616.0000       45310.00       212.8615    
   617.0000       45734.00       213.8551    
   618.0000       52582.00       229.3076    
   619.0000       53910.00       232.1853    
   620.0000       64282.00       253.5390    
   621.0000       53640.00       231.6031    
   622.0000       54332.00       233.0923    
   623.0000       54677.00       233.8311    
   624.0000       53476.00       231.2488    
   625.0000       54270.00       232.9592    
   626.0000       53750.00       231.8405    
   627.0000       54474.00       233.3967    
   628.0000       53026.00       230.2737    
   629.0000       55064.00       234.6572    
   630.0000       50612.00       224.9711    
   631.0000       51381.00       226.6738    
   632.0000       53708.00       231.7499    
   633.0000       50766.00       225.3131    
   634.0000       51061.00       225.9668    
   635.0000       51051.00       225.9447    
   636.0000       52095.00       228.2433    
   637.0000       52263.00       228.6110    
   638.0000       51614.00       227.1871    
   639.0000       51465.00       226.8590    
