empty can 300K                                               17-11-07   660.672K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   551.0000       14729.00       121.3631    
   552.0000       15219.00       123.3653    
   553.0000       14706.00       121.2683    
   554.0000       14882.00       121.9918    
   555.0000       14791.00       121.6183    
   556.0000       15045.00       122.6581    
   557.0000       15135.00       123.0244    
   558.0000       14494.00       120.3910    
   559.0000       13599.00       116.6148    
   560.0000       14546.00       120.6068    
   561.0000       14446.00       120.1915    
   562.0000       14549.00       120.6192    
   563.0000       14644.00       121.0124    
   564.0000       14768.00       121.5237    
   565.0000       14986.00       122.4173    
   566.0000       14906.00       122.0901    
   567.0000       14963.00       122.3233    
   568.0000       14068.00       118.6086    
   569.0000       15289.00       123.6487    
   570.0000       14121.00       118.8318    
   571.0000       14374.00       119.8916    
   572.0000       15060.00       122.7192    
   573.0000       14472.00       120.2996    
   574.0000       14636.00       120.9793    
   575.0000       14351.00       119.7957    
   576.0000       14442.00       120.1749    
   577.0000       14474.00       120.3079    
   578.0000       13963.00       118.1651    
   579.0000       12633.00       112.3966    
   580.0000       14080.00       118.6592    
   581.0000       14251.00       119.3776    
   582.0000       14396.00       119.9833    
   583.0000       14282.00       119.5073    
   584.0000       14488.00       120.3661    
   585.0000       14255.00       119.3943    
   586.0000       14108.00       118.7771    
   587.0000       14602.00       120.8387    
   588.0000       13815.00       117.5372    
   589.0000       14589.00       120.7849    
   590.0000       13347.00       115.5292    
   591.0000       13536.00       116.3443    
   592.0000       14044.00       118.5074    
   593.0000       13064.00       114.2979    
   594.0000       13474.00       116.0776    
   595.0000       13574.00       116.5075    
   596.0000       13686.00       116.9872    
   597.0000       12728.00       112.8184    
   598.0000       13243.00       115.0782    
   599.0000       12762.00       112.9690    
   600.0000       13663.00       116.8888    
   601.0000       12890.00       113.5341    
   602.0000       13063.00       114.2935    
   603.0000       13555.00       116.4259    
   604.0000       13399.00       115.7541    
   605.0000       13134.00       114.6037    
   606.0000       12859.00       113.3975    
   607.0000       13229.00       115.0174    
   608.0000       13150.00       114.6734    
   609.0000       13405.00       115.7800    
   610.0000       12699.00       112.6898    
   611.0000       12739.00       112.8672    
   612.0000       13053.00       114.2497    
   613.0000       12646.00       112.4544    
   614.0000       12428.00       111.4809    
   615.0000       12388.00       111.3014    
   616.0000       12605.00       112.2720    
   617.0000       12520.00       111.8928    
   618.0000       14522.00       120.5073    
   619.0000       14962.00       122.3193    
   620.0000       17788.00       133.3717    
   621.0000       14914.00       122.1229    
   622.0000       14824.00       121.7539    
   623.0000       15221.00       123.3734    
   624.0000       14820.00       121.7374    
   625.0000       15142.00       123.0528    
   626.0000       14915.00       122.1270    
   627.0000       15008.00       122.5071    
   628.0000       14567.00       120.6938    
   629.0000       15142.00       123.0528    
   630.0000       14140.00       118.9117    
   631.0000       14325.00       119.6871    
   632.0000       14831.00       121.7826    
   633.0000       14048.00       118.5243    
   634.0000       14205.00       119.1847    
   635.0000       13928.00       118.0169    
   636.0000       14276.00       119.4822    
   637.0000       14488.00       120.3661    
   638.0000       14036.00       118.4736    
   639.0000       14169.00       119.0336    
