sample v-GeO2 900K 			22-11-07   864.878K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   361.0000       34366.00       185.3807    
   362.0000       34228.00       185.0081    
   363.0000       34997.00       187.0748    
   364.0000       34849.00       186.6789    
   365.0000       34545.00       185.8629    
   366.0000       34162.00       184.8297    
   367.0000       35338.00       187.9840    
   368.0000       34841.00       186.6574    
   369.0000       36382.00       190.7407    
   370.0000       32667.00       180.7401    
   371.0000       33294.00       182.4664    
   372.0000       36321.00       190.5807    
   373.0000       33977.00       184.3285    
   374.0000       33727.00       183.6491    
   375.0000       34307.00       185.2215    
   376.0000       34608.00       186.0323    
   377.0000       34957.00       186.9679    
   378.0000       33628.00       183.3794    
   379.0000       32355.00       179.8750    
   380.0000       35052.00       187.2218    
   381.0000       31771.00       178.2442    
   382.0000       33663.00       183.4748    
   383.0000       34885.00       186.7753    
   384.0000       34316.00       185.2458    
   385.0000       34934.00       186.9064    
   386.0000       34653.00       186.1532    
   387.0000       35995.00       189.7235    
   388.0000       34213.00       184.9676    
   389.0000       35994.00       189.7208    
   390.0000       33678.00       183.5157    
   391.0000       34856.00       186.6976    
   392.0000       34955.00       186.9626    
   393.0000       33672.00       183.4993    
   394.0000       34828.00       186.6226    
   395.0000       35517.00       188.4595    
   396.0000       35667.00       188.8571    
   397.0000       35475.00       188.3481    
   398.0000       34197.00       184.9243    
   399.0000       36067.00       189.9131    
   400.0000       35412.00       188.1808    
   401.0000       35109.00       187.3740    
   402.0000       35568.00       188.5948    
   403.0000       35329.00       187.9601    
   404.0000       35955.00       189.6180    
   405.0000       36458.00       190.9398    
   406.0000       35516.00       188.4569    
   407.0000       35892.00       189.4518    
   408.0000       34959.00       186.9733    
   409.0000       36534.00       191.1387    
   410.0000       32691.00       180.8065    
   411.0000       35062.00       187.2485    
   412.0000       36386.00       190.7511    
   413.0000       34837.00       186.6467    
   414.0000       35858.00       189.3621    
   415.0000       35014.00       187.1203    
   416.0000       35795.00       189.1957    
   417.0000       35220.00       187.6699    
   418.0000       33480.00       182.9754    
   419.0000       33016.00       181.7030    
   420.0000       36382.00       190.7407    
   421.0000       35545.00       188.5338    
   422.0000       37083.00       192.5695    
   423.0000       36617.00       191.3557    
   424.0000       35096.00       187.3393    
   425.0000       36618.00       191.3583    
   426.0000       36557.00       191.1989    
   427.0000       37053.00       192.4916    
   428.0000       35976.00       189.6734    
   429.0000       37965.00       194.8461    
   430.0000       34487.00       185.7068    
   431.0000       35427.00       188.2206    
   432.0000       36890.00       192.0677    
   433.0000       35335.00       187.9761    
   434.0000       35957.00       189.6233    
   435.0000       36153.00       190.1394    
   436.0000       35757.00       189.0952    
   437.0000       36540.00       191.1544    
   438.0000       35772.00       189.1349    
   439.0000       35030.00       187.1630    
   440.0000       37448.00       193.5149    
   441.0000       36036.00       189.8315    
   442.0000       35277.00       187.8217    
   443.0000       35178.00       187.5580    
   444.0000       35884.00       189.4307    
   445.0000       36098.00       189.9947    
   446.0000       36159.00       190.1552    
   447.0000       35974.00       189.6681    
   448.0000       35125.00       187.4166    
   449.0000       37863.00       194.5842    
   450.0000       34658.00       186.1666    
   451.0000       35572.00       188.6054    
   452.0000       36218.00       190.3103    
   453.0000       35227.00       187.6886    
   454.0000       35058.00       187.2378    
   455.0000       35349.00       188.0133    
   456.0000       35960.00       189.6312    
   457.0000       35589.00       188.6505    
   458.0000       35015.00       187.1230    
   459.0000       33501.00       183.0328    
   460.0000       40477.00       201.1890    
   461.0000       34771.00       186.4698    
   462.0000       35278.00       187.8244    
   463.0000       36366.00       190.6987    
   464.0000       36003.00       189.7446    
   465.0000       35939.00       189.5758    
   466.0000       35400.00       188.1489    
   467.0000       36434.00       190.8769    
   468.0000       34887.00       186.7806    
   469.0000       37402.00       193.3960    
   470.0000       35171.00       187.5393    
   471.0000       35094.00       187.3339    
   472.0000       34727.00       186.3518    
