Empty fournace avelenght calibration                         25-11-07   773.458K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   548.0000       2349.000       48.46648    
   549.0000       2513.000       50.12983    
   550.0000       2265.000       47.59201    
   551.0000       2313.000       48.09366    
   552.0000       2373.000       48.71345    
   553.0000       2307.000       48.03124    
   554.0000       2369.000       48.67237    
   555.0000       2306.000       48.02083    
   556.0000       2259.000       47.52894    
   557.0000       2326.000       48.22862    
   558.0000       2177.000       46.65833    
   559.0000       2122.000       46.06517    
   560.0000       2211.000       47.02127    
   561.0000       2212.000       47.03190    
   562.0000       2231.000       47.23346    
   563.0000       2213.000       47.04253    
   564.0000       2341.000       48.38388    
   565.0000       2373.000       48.71345    
   566.0000       2457.000       49.56813    
   567.0000       2342.000       48.39421    
   568.0000       2243.000       47.36032    
   569.0000       2460.000       49.59839    
   570.0000       2123.000       46.07602    
   571.0000       2152.000       46.38965    
   572.0000       2287.000       47.82259    
   573.0000       2304.000       48.00000    
   574.0000       2282.000       47.77028    
   575.0000       2196.000       46.86150    
   576.0000       2219.000       47.10626    
   577.0000       2244.000       47.37088    
   578.0000       2184.000       46.73328    
   579.0000       1803.000       42.46175    
   580.0000       2149.000       46.35731    
   581.0000       2214.000       47.05316    
   582.0000       2227.000       47.19110    
   583.0000       2176.000       46.64761    
   584.0000       2261.000       47.54997    
   585.0000       2269.000       47.63402    
   586.0000       2220.000       47.11687    
   587.0000       2266.000       47.60252    
   588.0000       2186.000       46.75468    
   589.0000       2259.000       47.52894    
   590.0000       2145.000       46.31414    
   591.0000       2074.000       45.54119    
   592.0000       2225.000       47.16991    
   593.0000       2074.000       45.54119    
   594.0000       2191.000       46.80812    
   595.0000       2173.000       46.61545    
   596.0000       2308.000       48.04165    
   597.0000       2042.000       45.18850    
   598.0000       2206.000       46.96807    
   599.0000       1964.000       44.31704    
   600.0000       2233.000       47.25463    
   601.0000       2047.000       45.24379    
   602.0000       2080.000       45.60702    
   603.0000       2135.000       46.20606    
   604.0000       2087.000       45.68370    
   605.0000       2059.000       45.37621    
   606.0000       2087.000       45.68370    
   607.0000       2100.000       45.82576    
   608.0000       2119.000       46.03260    
   609.0000       2120.000       46.04346    
   610.0000       1905.000       43.64631    
   611.0000       2034.000       45.09989    
   612.0000       2055.000       45.33211    
   613.0000       1958.000       44.24929    
   614.0000       1979.000       44.48595    
   615.0000       1935.000       43.98864    
   616.0000       1952.000       44.18144    
   617.0000       2014.000       44.87761    
   618.0000       2201.000       46.91482    
   619.0000       2264.000       47.58151    
   620.0000       2818.000       53.08484    
   621.0000       2330.000       48.27007    
   622.0000       2388.000       48.86717    
   623.0000       2366.000       48.64154    
   624.0000       2312.000       48.08326    
   625.0000       2393.000       48.91830    
   626.0000       2311.000       48.07286    
   627.0000       2431.000       49.30517    
   628.0000       2318.000       48.14561    
   629.0000       2456.000       49.55805    
   630.0000       1967.000       44.35087    
   631.0000       1961.000       44.28318    
   632.0000       1925.000       43.87482    
   633.0000       1865.000       43.18565    
   634.0000       1916.000       43.77214    
   635.0000       1882.000       43.38202    
   636.0000       1843.000       42.93018    
   637.0000       1905.000       43.64631    
   638.0000       1910.000       43.70355    
   639.0000       1786.000       42.26109    
