sample v-GeO2 900K 			21-11-07  2000.000K
   402.0000       81708.00       285.8461    
   403.0000       81951.00       286.2708    
   404.0000       82646.00       287.4822    
   405.0000       85587.00       292.5526    
   406.0000       82673.00       287.5291    
   407.0000       81998.00       286.3529    
   408.0000       81100.00       284.7806    
   409.0000       84068.00       289.9448    
   410.0000       75955.00       275.5993    
   411.0000       81882.00       286.1503    
   412.0000       83269.00       288.5637    
   413.0000       80920.00       284.4644    
   414.0000       82448.00       287.1376    
   415.0000       80757.00       284.1778    
   416.0000       82373.00       287.0070    
   417.0000       81776.00       285.9650    
   418.0000       77590.00       278.5498    
   419.0000       76871.00       277.2562    
   420.0000       83396.00       288.7837    
   421.0000       81637.00       285.7219    
   422.0000       85156.00       291.8150    
   423.0000       84329.00       290.3946    
   424.0000       82093.00       286.5188    
   425.0000       84610.00       290.8780    
   426.0000       84560.00       290.7920    
   427.0000       85990.00       293.2405    
   428.0000       82535.00       287.2891    
   429.0000       87447.00       295.7144    
   430.0000       79468.00       281.9007    
   431.0000       82047.00       286.4385    
   432.0000       85549.00       292.4876    
   433.0000       82169.00       286.6514    
   434.0000       83679.00       289.2732    
   435.0000       83092.00       288.2568    
   436.0000       82379.00       287.0174    
   437.0000       84214.00       290.1965    
   438.0000       82755.00       287.6717    
   439.0000       81289.00       285.1122    
   440.0000       85744.00       292.8208    
   441.0000       83703.00       289.3147    
   442.0000       81791.00       285.9913    
   443.0000       81107.00       284.7929    
   444.0000       82654.00       287.4961    
   445.0000       83798.00       289.4789    
   446.0000       83387.00       288.7681    
   447.0000       83920.00       289.6895    
   448.0000       81323.00       285.1719    
   449.0000       88267.00       297.0976    
   450.0000       79588.00       282.1135    
   451.0000       82364.00       286.9913    
   452.0000       83688.00       289.2888    
   453.0000       81460.00       285.4120    
   454.0000       81292.00       285.1175    
   455.0000       81656.00       285.7551    
   456.0000       83386.00       288.7663    
   457.0000       81903.00       286.1870    
   458.0000       80774.00       284.2077    
   459.0000       77910.00       279.1236    
   460.0000       93508.00       305.7908    
   461.0000       80137.00       283.0848    
   462.0000       81010.00       284.6226    
   463.0000       83877.00       289.6153    
   464.0000       83807.00       289.4944    
   465.0000       82852.00       287.8402    
   466.0000       82315.00       286.9059    
   467.0000       84141.00       290.0707    
   468.0000       80991.00       284.5892    
   469.0000       86512.00       294.1292    
   470.0000       81154.00       284.8754    
   471.0000       80387.00       283.5260    
   472.0000       80713.00       284.1003    
   473.0000       79985.00       282.8162    
   474.0000       79940.00       282.7366    
   475.0000       80517.00       283.7552    
   476.0000       84156.00       290.0965    
   477.0000       81582.00       285.6256    
   478.0000       79072.00       281.1974    
   479.0000       83310.00       288.6347    
   480.0000       74911.00       273.6987    
   481.0000       81095.00       284.7719    
   482.0000       81517.00       285.5118    
   483.0000       81013.00       284.6278    
   484.0000       78311.00       279.8410    
   485.0000       79575.00       282.0904    
