sample v-GeO2 1400K tst                                      23-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   455.0000       7374.000       85.87199    
   456.0000       7584.000       87.08617    
   457.0000       7610.000       87.23531    
   458.0000       7472.000       86.44073    
   459.0000       7068.000       84.07140    
   460.0000       8508.000       92.23882    
   461.0000       7445.000       86.28442    
   462.0000       7519.000       86.71217    
   463.0000       7615.000       87.26397    
   464.0000       7623.000       87.30979    
   465.0000       7766.000       88.12491    
   466.0000       7491.000       86.55056    
   467.0000       7663.000       87.53857    
   468.0000       7422.000       86.15103    
   469.0000       8073.000       89.84988    
   470.0000       7510.000       86.66026    
   471.0000       7357.000       85.77296    
   472.0000       7518.000       86.70640    
   473.0000       7484.000       86.51012    
   474.0000       7298.000       85.42833    
   475.0000       7299.000       85.43419    
   476.0000       7827.000       88.47034    
   477.0000       7630.000       87.34987    
   478.0000       7353.000       85.74963    
   479.0000       7615.000       87.26397    
   480.0000       6914.000       83.15047    
   481.0000       7403.000       86.04069    
   482.0000       7613.000       87.25251    
   483.0000       7394.000       85.98837    
   484.0000       7434.000       86.22065    
   485.0000       7466.000       86.40602    
   486.0000       7553.000       86.90800    
   487.0000       7730.000       87.92042    
   488.0000       7231.000       85.03529    
   489.0000       8052.000       89.73294    
   490.0000       7311.000       85.50439    
   491.0000       7285.000       85.35221    
   492.0000       7662.000       87.53285    
   493.0000       7266.000       85.24084    
   494.0000       7306.000       85.47514    
   495.0000       7452.000       86.32497    
   496.0000       7515.000       86.68910    
   497.0000       7633.000       87.36704    
   498.0000       7485.000       86.51589    
   499.0000       7346.000       85.70881    
   500.0000       7304.000       85.46344    
   501.0000       7362.000       85.80210    
   502.0000       7286.000       85.35807    
   503.0000       7188.000       84.78207    
   504.0000       7563.000       86.96551    
   505.0000       7786.000       88.23831    
   506.0000       7435.000       86.22645    
   507.0000       7745.000       88.00568    
   508.0000       7507.000       86.64294    
   509.0000       7710.000       87.80660    
   510.0000       7161.000       84.62269    
   511.0000       7597.000       87.16077    
   512.0000       7510.000       86.66026    
   513.0000       7227.000       85.01176    
   514.0000       7340.000       85.67380    
   515.0000       7547.000       86.87347    
   516.0000       7649.000       87.45856    
   517.0000       7633.000       87.36704    
   518.0000       7474.000       86.45230    
   519.0000       7608.000       87.22385    
   520.0000       8032.000       89.62143    
   521.0000       7143.000       84.51627    
   522.0000       7390.000       85.96511    
   523.0000       7550.000       86.89074    
   524.0000       7359.000       85.78461    
   525.0000       7516.000       86.69487    
   526.0000       7481.000       86.49277    
   527.0000       7729.000       87.91473    
   528.0000       7283.000       85.34049    
   529.0000       7846.000       88.57765    
   530.0000       7444.000       86.27862    
   531.0000       7539.000       86.82742    
   532.0000       7524.000       86.74100    
   533.0000       7571.000       87.01149    
   534.0000       7364.000       85.81375    
   535.0000       7390.000       85.96511    
   536.0000       7736.000       87.95454    
   537.0000       7647.000       87.44713    
   538.0000       7152.000       84.56950    
   539.0000       7458.000       86.35971    
   540.0000       7810.000       88.37421    
   541.0000       7362.000       85.80210    
   542.0000       7577.000       87.04597    
   543.0000       7530.000       86.77557    
   544.0000       7594.000       87.14356    
   545.0000       7694.000       87.71545    
   546.0000       7629.000       87.34415    
   547.0000       7843.000       88.56071    
   548.0000       7439.000       86.24964    
   549.0000       7943.000       89.12351    
   550.0000       7423.000       86.15684    
   551.0000       7656.000       87.49857    
   552.0000       7714.000       87.82938    
   553.0000       7412.000       86.09297    
   554.0000       7535.000       86.80437    
   555.0000       7474.000       86.45230    
   556.0000       7597.000       87.16077    
   557.0000       7758.000       88.07951    
   558.0000       7370.000       85.84870    
   559.0000       6674.000       81.69455    
   560.0000       7311.000       85.50439    
   561.0000       7419.000       86.13361    
   562.0000       7346.000       85.70881    
   563.0000       7429.000       86.19165    
   564.0000       7617.000       87.27543    
   565.0000       7644.000       87.42997    
   566.0000       7657.000       87.50429    
   567.0000       7601.000       87.18372    
   568.0000       7305.000       85.46929    
   569.0000       7835.000       88.51553    
   570.0000       7161.000       84.62269    
   571.0000       7129.000       84.43340    
   572.0000       7570.000       87.00574    
   573.0000       7253.000       85.16454    
   574.0000       7298.000       85.42833    
   575.0000       7335.000       85.64462    
   576.0000       7338.000       85.66212    
   577.0000       7395.000       85.99419    
   578.0000       6994.000       83.63013    
   579.0000       6000.000       77.45966    
   580.0000       7067.000       84.06545    
   581.0000       7366.000       85.82540    
   582.0000       7260.000       85.20564    
   583.0000       7498.000       86.59100    
   584.0000       7669.000       87.57283    
   585.0000       7403.000       86.04069    
   586.0000       7194.000       84.81745    
   587.0000       7601.000       87.18372    
   588.0000       7182.000       84.74668    
   589.0000       7575.000       87.03448    
   590.0000       6884.000       82.96987    
   591.0000       6771.000       82.28609    
   592.0000       7075.000       84.11302    
   593.0000       6691.000       81.79853    
   594.0000       6936.000       83.28265    
   595.0000       7156.000       84.59315    
   596.0000       7011.000       83.73171    
   597.0000       6562.000       81.00617    
   598.0000       6734.000       82.06095    
   599.0000       6315.000       79.46697    
   600.0000       6989.000       83.60024    
   601.0000       6634.000       81.44937    
   602.0000       6567.000       81.03703    
   603.0000       7001.000       83.67198    
   604.0000       6830.000       82.64381    
   605.0000       6814.000       82.54696    
   606.0000       6562.000       81.00617    
   607.0000       6782.000       82.35290    
   608.0000       6822.000       82.59540    
   609.0000       6934.000       83.27065    
   610.0000       6378.000       79.86238    
   611.0000       6598.000       81.22807    
   612.0000       6801.000       82.46818    
   613.0000       6450.000       80.31189    
   614.0000       6311.000       79.44180    
   615.0000       6467.000       80.41766    
   616.0000       6439.000       80.24338    
   617.0000       6572.000       81.06787    
   618.0000       7313.000       85.51608    
   619.0000       7641.000       87.41281    
   620.0000       9171.000       95.76534    
   621.0000       7583.000       87.08042    
   622.0000       7758.000       88.07951    
   623.0000       7693.000       87.70975    
   624.0000       7685.000       87.66413    
   625.0000       7872.000       88.72429    
   626.0000       7743.000       87.99432    
   627.0000       7832.000       88.49859    
   628.0000       7374.000       85.87199    
   629.0000       7975.000       89.30286    
   630.0000       7243.000       85.10582    
   631.0000       7242.000       85.09994    
   632.0000       7667.000       87.56141    
   633.0000       7162.000       84.62860    
   634.0000       7349.000       85.72631    
   635.0000       7424.000       86.16264    
   636.0000       7419.000       86.13361    
   637.0000       7606.000       87.21239    
   638.0000       7577.000       87.04597    
   639.0000       7455.000       86.34234    
