sample v-GeO2 1200K x3                                       25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   373.0000       72059.00       268.4381    
   374.0000       71517.00       267.4266    
   375.0000       72469.00       269.2007    
   376.0000       73336.00       270.8062    
   377.0000       73449.00       271.0148    
   378.0000       70681.00       265.8590    
   379.0000       67177.00       259.1853    
   380.0000       74203.00       272.4023    
   381.0000       67886.00       260.5494    
   382.0000       71835.00       268.0205    
   383.0000       74361.00       272.6921    
   384.0000       73312.00       270.7619    
   385.0000       73942.00       271.9228    
   386.0000       73756.00       271.5806    
   387.0000       75221.00       274.2645    
   388.0000       71710.00       267.7872    
   389.0000       76961.00       277.4185    
   390.0000       70653.00       265.8063    
   391.0000       72882.00       269.9667    
   392.0000       73524.00       271.1531    
   393.0000       70536.00       265.5862    
   394.0000       73669.00       271.4203    
   395.0000       73910.00       271.8639    
   396.0000       74434.00       272.8260    
   397.0000       74919.00       273.7133    
   398.0000       72436.00       269.1394    
   399.0000       74948.00       273.7663    
   400.0000       74481.00       272.9121    
   401.0000       73727.00       271.5272    
   402.0000       74056.00       272.1323    
   403.0000       74462.00       272.8773    
   404.0000       74980.00       273.8248    
   405.0000       76555.00       276.6857    
   406.0000       74766.00       273.4337    
   407.0000       74144.00       272.2939    
   408.0000       72942.00       270.0778    
   409.0000       76268.00       276.1666    
   410.0000       67695.00       260.1826    
   411.0000       73356.00       270.8431    
   412.0000       75492.00       274.7581    
   413.0000       73003.00       270.1907    
   414.0000       74157.00       272.3178    
   415.0000       72906.00       270.0111    
   416.0000       74460.00       272.8736    
   417.0000       73528.00       271.1605    
   418.0000       69408.00       263.4540    
   419.0000       67944.00       260.6607    
   420.0000       75130.00       274.0985    
   421.0000       73998.00       272.0257    
   422.0000       76515.00       276.6134    
   423.0000       76336.00       276.2897    
   424.0000       73779.00       271.6229    
   425.0000       75572.00       274.9036    
   426.0000       75777.00       275.2762    
   427.0000       76998.00       277.4851    
   428.0000       74384.00       272.7343    
   429.0000       78139.00       279.5335    
   430.0000       70714.00       265.9211    
   431.0000       73336.00       270.8062    
   432.0000       76293.00       276.2119    
   433.0000       73266.00       270.6769    
   434.0000       74977.00       273.8193    
   435.0000       74310.00       272.5986    
   436.0000       73740.00       271.5511    
   437.0000       75418.00       274.6234    
   438.0000       74794.00       273.4849    
   439.0000       72369.00       269.0149    
   440.0000       77327.00       278.0773    
   441.0000       74492.00       272.9322    
   442.0000       73293.00       270.7268    
   443.0000       72418.00       269.1059    
   444.0000       73499.00       271.1070    
   445.0000       74592.00       273.1154    
   446.0000       73996.00       272.0221    
   447.0000       74192.00       272.3821    
   448.0000       72661.00       269.5570    
   449.0000       77929.00       279.1577    
   450.0000       71122.00       266.6871    
   451.0000       72788.00       269.7925    
   452.0000       74197.00       272.3913    
   453.0000       72028.00       268.3803    
   454.0000       72255.00       268.8029    
   455.0000       73360.00       270.8505    
   456.0000       73939.00       271.9173    
   457.0000       73772.00       271.6100    
   458.0000       71916.00       268.1716    
   459.0000       67894.00       260.5648    
   460.0000       84035.00       289.8879    
   461.0000       72648.00       269.5329    
   462.0000       72987.00       270.1611    
   463.0000       75612.00       274.9763    
   464.0000       75043.00       273.9398    
   465.0000       74459.00       272.8718    
   466.0000       73128.00       270.4219    
   467.0000       75763.00       275.2508    
   468.0000       72560.00       269.3696    
   469.0000       78034.00       279.3457    
   470.0000       71788.00       267.9328    
   471.0000       72496.00       269.2508    
   472.0000       72341.00       268.9628    
   473.0000       72053.00       268.4269    
   474.0000       71766.00       267.8918    
   475.0000       72573.00       269.3938    
   476.0000       75425.00       274.6361    
   477.0000       73109.00       270.3867    
   478.0000       71747.00       267.8563    
   479.0000       74516.00       272.9762    
   480.0000       67460.00       259.7306    
   481.0000       72786.00       269.7888    
   482.0000       74200.00       272.3968    
   483.0000       73168.00       270.4958    
   484.0000       71574.00       267.5332    
   485.0000       71862.00       268.0709    
   486.0000       73110.00       270.3886    
   487.0000       74337.00       272.6481    
   488.0000       71647.00       267.6696    
   489.0000       78200.00       279.6426    
   490.0000       70387.00       265.3055    
   491.0000       70627.00       265.7574    
   492.0000       74167.00       272.3362    
   493.0000       71981.00       268.2928    
   494.0000       72703.00       269.6349    
   495.0000       72482.00       269.2248    
   496.0000       73632.00       271.3522    
   497.0000       74814.00       273.5215    
   498.0000       72383.00       269.0409    
   499.0000       71572.00       267.5294    
   500.0000       71776.00       267.9104    
   501.0000       71389.00       267.1872    
   502.0000       71685.00       267.7405    
   503.0000       71067.00       266.5840    
   504.0000       72505.00       269.2675    
   505.0000       74137.00       272.2811    
   506.0000       73427.00       270.9742    
   507.0000       74921.00       273.7170    
   508.0000       72215.00       268.7285    
   509.0000       76296.00       276.2173    
   510.0000       69112.00       262.8916    
   511.0000       72026.00       268.3766    
   512.0000       73475.00       271.0627    
   513.0000       70299.00       265.1396    
   514.0000       72134.00       268.5777    
   515.0000       72654.00       269.5441    
   516.0000       73856.00       271.7646    
   517.0000       74617.00       273.1611    
   518.0000       72484.00       269.2285    
   519.0000       73555.00       271.2102    
