sample v-GeO2 1100K tst                                      23-11-07    50.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   456.0000       2085.000       45.66180    
   457.0000       2015.000       44.88875    
   458.0000       2023.000       44.97777    
   459.0000       1908.000       43.68066    
   460.0000       2430.000       49.29503    
   461.0000       1986.000       44.56456    
   462.0000       1941.000       44.05678    
   463.0000       2036.000       45.12206    
   464.0000       2017.000       44.91102    
   465.0000       2066.000       45.45327    
   466.0000       2018.000       44.92215    
   467.0000       2067.000       45.46427    
   468.0000       2026.000       45.01111    
   469.0000       2155.000       46.42198    
   470.0000       1893.000       43.50862    
   471.0000       2016.000       44.89989    
   472.0000       2043.000       45.19956    
   473.0000       1967.000       44.35087    
   474.0000       1976.000       44.45222    
   475.0000       2014.000       44.87761    
   476.0000       2101.000       45.83667    
   477.0000       2069.000       45.48626    
   478.0000       2013.000       44.86647    
   479.0000       2056.000       45.34314    
   480.0000       1836.000       42.84857    
   481.0000       1990.000       44.60942    
   482.0000       2029.000       45.04442    
   483.0000       2066.000       45.45327    
   484.0000       1962.000       44.29447    
   485.0000       1945.000       44.10215    
   486.0000       2063.000       45.42026    
   487.0000       2030.000       45.05552    
   488.0000       1961.000       44.28318    
   489.0000       2071.000       45.50824    
   490.0000       1875.000       43.30127    
   491.0000       1946.000       44.11349    
   492.0000       1996.000       44.67662    
   493.0000       1957.000       44.23799    
   494.0000       1970.000       44.38468    
   495.0000       1997.000       44.68781    
   496.0000       2038.000       45.14421    
   497.0000       2030.000       45.05552    
   498.0000       2006.000       44.78839    
   499.0000       1975.000       44.44097    
   500.0000       1944.000       44.09082    
   501.0000       1933.000       43.96590    
   502.0000       1995.000       44.66542    
   503.0000       1914.000       43.74929    
   504.0000       2019.000       44.93328    
   505.0000       1988.000       44.58699    
   506.0000       2005.000       44.77723    
   507.0000       2074.000       45.54119    
   508.0000       1897.000       43.55456    
   509.0000       2054.000       45.32108    
   510.0000       1890.000       43.47413    
   511.0000       1984.000       44.54211    
   512.0000       2073.000       45.53021    
   513.0000       1971.000       44.39595    
   514.0000       1958.000       44.24929    
   515.0000       1966.000       44.33960    
   516.0000       2014.000       44.87761    
   517.0000       2134.000       46.19524    
   518.0000       2046.000       45.23273    
   519.0000       2030.000       45.05552    
   520.0000       2193.000       46.82948    
   521.0000       1945.000       44.10215    
   522.0000       1970.000       44.38468    
   523.0000       1944.000       44.09082    
   524.0000       1980.000       44.49719    
   525.0000       1955.000       44.21538    
   526.0000       1917.000       43.78356    
   527.0000       2049.000       45.26588    
   528.0000       1856.000       43.08132    
   529.0000       2085.000       45.66180    
   530.0000       1985.000       44.55334    
   531.0000       2040.000       45.16636    
   532.0000       2045.000       45.22168    
   533.0000       1969.000       44.37342    
   534.0000       2000.000       44.72136    
   535.0000       1900.000       43.58899    
   536.0000       2058.000       45.36518    
   537.0000       2084.000       45.65085    
   538.0000       1997.000       44.68781    
   539.0000       1992.000       44.63183    
   540.0000       1992.000       44.63183    
   541.0000       1904.000       43.63485    
   542.0000       2055.000       45.33211    
   543.0000       2021.000       44.95553    
   544.0000       2026.000       45.01111    
   545.0000       2119.000       46.03260    
   546.0000       2035.000       45.11097    
   547.0000       2051.000       45.28797    
   548.0000       1996.000       44.67662    
   549.0000       2160.000       46.47580    
   550.0000       2044.000       45.21062    
   551.0000       2051.000       45.28797    
   552.0000       2048.000       45.25483    
   553.0000       2046.000       45.23273    
   554.0000       2056.000       45.34314    
   555.0000       2015.000       44.88875    
   556.0000       2112.000       45.95650    
   557.0000       2077.000       45.57412    
   558.0000       2072.000       45.51923    
   559.0000       1828.000       42.75512    
   560.0000       1932.000       43.95452    
   561.0000       1932.000       43.95452    
   562.0000       1947.000       44.12482    
   563.0000       2055.000       45.33211    
   564.0000       2027.000       45.02222    
   565.0000       2022.000       44.96666    
   566.0000       2007.000       44.79955    
   567.0000       1930.000       43.93177    
   568.0000       1957.000       44.23799    
   569.0000       2126.000       46.10857    
   570.0000       1827.000       42.74342    
   571.0000       1943.000       44.07948    
   572.0000       2016.000       44.89989    
   573.0000       1995.000       44.66542    
   574.0000       2054.000       45.32108    
   575.0000       1987.000       44.57578    
   576.0000       1983.000       44.53089    
   577.0000       1979.000       44.48595    
   578.0000       1845.000       42.95346    
   579.0000       1584.000       39.79950    
   580.0000       1849.000       43.00000    
   581.0000       1928.000       43.90900    
   582.0000       1925.000       43.87482    
   583.0000       1929.000       43.92038    
   584.0000       1968.000       44.36214    
   585.0000       1979.000       44.48595    
   586.0000       1937.000       44.01136    
   587.0000       1975.000       44.44097    
   588.0000       1856.000       43.08132    
   589.0000       2038.000       45.14421    
   590.0000       1830.000       42.77850    
   591.0000       1884.000       43.40507    
   592.0000       1987.000       44.57578    
   593.0000       1780.000       42.19004    
   594.0000       1829.000       42.76681    
   595.0000       1916.000       43.77214    
   596.0000       1912.000       43.72642    
   597.0000       1704.000       41.27953    
   598.0000       1816.000       42.61455    
   599.0000       1716.000       41.42463    
   600.0000       1895.000       43.53160    
   601.0000       1707.000       41.31586    
   602.0000       1852.000       43.03487    
   603.0000       1874.000       43.28972    
   604.0000       1881.000       43.37050    
   605.0000       1782.000       42.21374    
   606.0000       1748.000       41.80909    
   607.0000       1920.000       43.81781    
   608.0000       1799.000       42.41462    
   609.0000       1866.000       43.19722    
   610.0000       1717.000       41.43670    
   611.0000       1768.000       42.04759    
   612.0000       1842.000       42.91853    
   613.0000       1740.000       41.71331    
   614.0000       1739.000       41.70132    
   615.0000       1725.000       41.53312    
   616.0000       1774.000       42.11888    
   617.0000       1791.000       42.32021    
   618.0000       1998.000       44.69899    
   619.0000       2048.000       45.25483    
   620.0000       2455.000       49.54796    
   621.0000       2029.000       45.04442    
   622.0000       2126.000       46.10857    
   623.0000       2106.000       45.89117    
   624.0000       1961.000       44.28318    
   625.0000       2102.000       45.84757    
   626.0000       1980.000       44.49719    
   627.0000       2091.000       45.72746    
   628.0000       2036.000       45.12206    
   629.0000       2115.000       45.98913    
   630.0000       1903.000       43.62339    
   631.0000       1945.000       44.10215    
   632.0000       2128.000       46.13025    
   633.0000       1940.000       44.04543    
   634.0000       1958.000       44.24929    
   635.0000       1979.000       44.48595    
   636.0000       1991.000       44.62062    
   637.0000       2105.000       45.88028    
   638.0000       1989.000       44.59821    
   639.0000       2030.000       45.05552    
