sample v-GeO2 1300K x3                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   434.0000       18729.00       136.8539    
   435.0000       18816.00       137.1714    
   436.0000       18487.00       135.9669    
   437.0000       18862.00       137.3390    
   438.0000       18493.00       135.9890    
   439.0000       17820.00       133.4916    
   440.0000       19231.00       138.6759    
   441.0000       18529.00       136.1213    
   442.0000       18207.00       134.9333    
   443.0000       18004.00       134.1790    
   444.0000       18476.00       135.9265    
   445.0000       18501.00       136.0184    
   446.0000       18376.00       135.5581    
   447.0000       18468.00       135.8970    
   448.0000       18193.00       134.8814    
   449.0000       19174.00       138.4702    
   450.0000       17706.00       133.0639    
   451.0000       18223.00       134.9926    
   452.0000       18142.00       134.6922    
   453.0000       17907.00       133.8170    
   454.0000       18164.00       134.7739    
   455.0000       18034.00       134.2907    
   456.0000       18447.00       135.8197    
   457.0000       18106.00       134.5585    
   458.0000       18108.00       134.5660    
   459.0000       17026.00       130.4837    
   460.0000       20742.00       144.0208    
   461.0000       17931.00       133.9067    
   462.0000       18090.00       134.4991    
   463.0000       18660.00       136.6016    
   464.0000       18627.00       136.4808    
   465.0000       18843.00       137.2698    
   466.0000       18290.00       135.2405    
   467.0000       19060.00       138.0580    
   468.0000       18089.00       134.4953    
   469.0000       19137.00       138.3365    
   470.0000       17809.00       133.4504    
   471.0000       18120.00       134.6105    
   472.0000       17974.00       134.0672    
   473.0000       17641.00       132.8194    
   474.0000       17795.00       133.3979    
   475.0000       18246.00       135.0778    
   476.0000       18530.00       136.1249    
   477.0000       18460.00       135.8676    
   478.0000       17664.00       132.9060    
   479.0000       18681.00       136.6785    
   480.0000       16716.00       129.2904    
   481.0000       18141.00       134.6885    
   482.0000       18394.00       135.6245    
   483.0000       18315.00       135.3329    
   484.0000       17672.00       132.9361    
   485.0000       17931.00       133.9067    
   486.0000       18145.00       134.7034    
   487.0000       18570.00       136.2718    
   488.0000       17918.00       133.8581    
   489.0000       19268.00       138.8092    
   490.0000       17440.00       132.0606    
   491.0000       17379.00       131.8294    
   492.0000       18427.00       135.7461    
   493.0000       17754.00       133.2441    
   494.0000       17937.00       133.9291    
   495.0000       18122.00       134.6180    
   496.0000       18550.00       136.1984    
   497.0000       18705.00       136.7662    
   498.0000       17874.00       133.6937    
   499.0000       17807.00       133.4429    
   500.0000       17987.00       134.1156    
   501.0000       17718.00       133.1090    
   502.0000       17841.00       133.5702    
   503.0000       17703.00       133.0526    
   504.0000       17996.00       134.1492    
   505.0000       18622.00       136.4624    
   506.0000       18371.00       135.5397    
   507.0000       18586.00       136.3305    
   508.0000       17929.00       133.8992    
   509.0000       18975.00       137.7498    
   510.0000       17152.00       130.9656    
   511.0000       18226.00       135.0037    
   512.0000       18278.00       135.1962    
   513.0000       17587.00       132.6160    
   514.0000       18192.00       134.8777    
   515.0000       18089.00       134.4953    
   516.0000       18537.00       136.1507    
   517.0000       18474.00       135.9191    
   518.0000       18395.00       135.6282    
   519.0000       18286.00       135.2257    
   520.0000       19396.00       139.2695    
   521.0000       17715.00       133.0977    
   522.0000       18010.00       134.2013    
   523.0000       18332.00       135.3957    
   524.0000       18025.00       134.2572    
   525.0000       18168.00       134.7887    
   526.0000       18249.00       135.0889    
   527.0000       18835.00       137.2407    
   528.0000       17847.00       133.5927    
   529.0000       19500.00       139.6424    
   530.0000       17725.00       133.1353    
   531.0000       18183.00       134.8444    
   532.0000       18422.00       135.7277    
   533.0000       18217.00       134.9704    
   534.0000       17929.00       133.8992    
   535.0000       18062.00       134.3949    
   536.0000       19161.00       138.4233    
   537.0000       18690.00       136.7114    
   538.0000       17865.00       133.6600    
   539.0000       17896.00       133.7759    
   540.0000       18734.00       136.8722    
   541.0000       17787.00       133.3679    
   542.0000       18318.00       135.3440    
   543.0000       18589.00       136.3415    
   544.0000       18492.00       135.9853    
   545.0000       18510.00       136.0515    
   546.0000       18657.00       136.5906    
   547.0000       18923.00       137.5609    
   548.0000       18557.00       136.2241    
   549.0000       19637.00       140.1321    
   550.0000       18154.00       134.7368    
   551.0000       18297.00       135.2664    
   552.0000       18813.00       137.1605    
   553.0000       18194.00       134.8851    
   554.0000       18415.00       135.7019    
   555.0000       18252.00       135.1000    
   556.0000       18549.00       136.1947    
   557.0000       18739.00       136.8905    
   558.0000       17599.00       132.6612    
   559.0000       16293.00       127.6440    
   560.0000       17915.00       133.8469    
   561.0000       18049.00       134.3466    
   562.0000       17905.00       133.8096    
   563.0000       18331.00       135.3920    
   564.0000       18302.00       135.2849    
   565.0000       18483.00       135.9522    
   566.0000       18710.00       136.7845    
   567.0000       18562.00       136.2424    
   568.0000       17588.00       132.6198    
   569.0000       19152.00       138.3907    
   570.0000       16801.00       129.6187    
   571.0000       17304.00       131.5447    
   572.0000       18674.00       136.6528    
   573.0000       17950.00       133.9776    
