Empty fournace                                               25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   287.0000       7377.000       85.88947    
   288.0000       7093.000       84.21995    
   289.0000       7391.000       85.97092    
   290.0000       6842.000       82.71638    
   291.0000       6978.000       83.53442    
   292.0000       7152.000       84.56950    
   293.0000       6882.000       82.95782    
   294.0000       6968.000       83.47455    
   295.0000       6937.000       83.28866    
   296.0000       7065.000       84.05355    
   297.0000       6825.000       82.61356    
   298.0000       6564.000       81.01852    
   299.0000       6525.000       80.77747    
   300.0000       7153.000       84.57541    
   301.0000       6936.000       83.28265    
   302.0000       6910.000       83.12641    
   303.0000       7054.000       83.98810    
   304.0000       6905.000       83.09633    
   305.0000       7032.000       83.85702    
   306.0000       6962.000       83.43860    
   307.0000       6958.000       83.41463    
   308.0000       6789.000       82.39539    
   309.0000       7251.000       85.15280    
   310.0000       6522.000       80.75890    
   311.0000       7013.000       83.74366    
   312.0000       7074.000       84.10707    
   313.0000       6754.000       82.18272    
   314.0000       6821.000       82.58935    
   315.0000       6865.000       82.85529    
   316.0000       6745.000       82.12795    
   317.0000       7005.000       83.69588    
   318.0000       6583.000       81.13569    
   319.0000       6180.000       78.61298    
   320.0000       6431.000       80.19352    
   321.0000       6565.000       81.02469    
   322.0000       6930.000       83.24662    
   323.0000       7001.000       83.67198    
   324.0000       7078.000       84.13085    
   325.0000       6853.000       82.78285    
   326.0000       6682.000       81.74350    
   327.0000       6815.000       82.55302    
   328.0000       6488.000       80.54812    
   329.0000       7073.000       84.10113    
   330.0000       6573.000       81.07404    
   331.0000       6736.000       82.07314    
   332.0000       6998.000       83.65405    
   333.0000       6486.000       80.53571    
   334.0000       6588.000       81.16650    
   335.0000       6703.000       81.87185    
   336.0000       6606.000       81.27731    
   337.0000       6758.000       82.20705    
   338.0000       6574.000       81.08021    
   339.0000       6344.000       79.64923    
   340.0000       7119.000       84.37417    
   341.0000       6813.000       82.54090    
   342.0000       6945.000       83.33667    
   343.0000       6941.000       83.31267    
   344.0000       6933.000       83.26464    
   345.0000       7149.000       84.55176    
   346.0000       7036.000       83.88087    
   347.0000       7196.000       84.82924    
   348.0000       7127.000       84.42156    
   349.0000       7258.000       85.19389    
   350.0000       6544.000       80.89500    
   351.0000       6970.000       83.48653    
   352.0000       7054.000       83.98810    
   353.0000       6829.000       82.63776    
   354.0000       6877.000       82.92768    
   355.0000       6847.000       82.74660    
   356.0000       7237.000       85.07056    
   357.0000       7104.000       84.28523    
   358.0000       6820.000       82.58329    
   359.0000       7271.000       85.27016    
   360.0000       7036.000       83.88087    
   361.0000       6873.000       82.90356    
   362.0000       6922.000       83.19855    
   363.0000       6901.000       83.07226    
   364.0000       6879.000       82.93974    
   365.0000       6929.000       83.24062    
   366.0000       6861.000       82.83115    
   367.0000       7043.000       83.92258    
   368.0000       6892.000       83.01807    
   369.0000       7266.000       85.24084    
   370.0000       6378.000       79.86238    
   371.0000       6522.000       80.75890    
   372.0000       6958.000       83.41463    
   373.0000       6795.000       82.43179    
   374.0000       6485.000       80.52950    
   375.0000       6741.000       82.10359    
   376.0000       6715.000       81.94511    
   377.0000       6687.000       81.77408    
   378.0000       6494.000       80.58536    
   379.0000       6256.000       79.09488    
   380.0000       6816.000       82.55907    
   381.0000       6354.000       79.71198    
   382.0000       6694.000       81.81687    
   383.0000       6690.000       81.79242    
   384.0000       6597.000       81.22192    
   385.0000       6664.000       81.63332    
   386.0000       6613.000       81.32035    
   387.0000       6882.000       82.95782    
   388.0000       6572.000       81.06787    
   389.0000       6925.000       83.21658    
   390.0000       6370.000       79.81228    
   391.0000       6616.000       81.33880    
   392.0000       6599.000       81.23423    
   393.0000       6474.000       80.46117    
   394.0000       6744.000       82.12186    
   395.0000       6720.000       81.97561    
   396.0000       6658.000       81.59657    
   397.0000       6676.000       81.70679    
   398.0000       6430.000       80.18728    
   399.0000       6573.000       81.07404    
   400.0000       6592.000       81.19113    
   401.0000       6592.000       81.19113    
   402.0000       6523.000       80.76509    
   403.0000       6591.000       81.18497    
   404.0000       6675.000       81.70068    
   405.0000       6890.000       83.00603    
   406.0000       6639.000       81.48006    
   407.0000       6493.000       80.57915    
   408.0000       6401.000       80.00625    
   409.0000       6645.000       81.51687    
   410.0000       6022.000       77.60155    
   411.0000       6310.000       79.43551    
   412.0000       6682.000       81.74350    
   413.0000       6367.000       79.79348    
   414.0000       6532.000       80.82079    
   415.0000       6444.000       80.27453    
   416.0000       6485.000       80.52950    
   417.0000       6274.000       79.20859    
   418.0000       6154.000       78.44743    
   419.0000       5833.000       76.37408    
   420.0000       6387.000       79.91871    
   421.0000       6396.000       79.97500    
   422.0000       6590.000       81.17882    
   423.0000       6544.000       80.89500    
   424.0000       6324.000       79.52358    
   425.0000       6417.000       80.10618    
   426.0000       6572.000       81.06787    
   427.0000       6459.000       80.36790    
   428.0000       6366.000       79.78722    
   429.0000       6780.000       82.34075    
   430.0000       6011.000       77.53064    
   431.0000       6254.000       79.08224    
   432.0000       6492.000       80.57294    
   433.0000       6294.000       79.33473    
   434.0000       6376.000       79.84986    
   435.0000       6293.000       79.32843    
   436.0000       6266.000       79.15807    
   437.0000       6416.000       80.09994    
   438.0000       6082.000       77.98717    
   439.0000       6046.000       77.75603    
   440.0000       6560.000       80.99383    
   441.0000       6253.000       79.07591    
   442.0000       6259.000       79.11385    
   443.0000       6027.000       77.63376    
   444.0000       6287.000       79.29060    
   445.0000       6540.000       80.87027    
   446.0000       6123.000       78.24960    
   447.0000       6146.000       78.39643    
   448.0000       6106.000       78.14090    
   449.0000       6502.000       80.63498    
   450.0000       5961.000       77.20751    
   451.0000       6056.000       77.82030    
   452.0000       6370.000       79.81228    
   453.0000       6133.000       78.31347    
   454.0000       6148.000       78.40918    
   455.0000       6119.000       78.22404    
   456.0000       6151.000       78.42831    
   457.0000       6153.000       78.44106    
   458.0000       6060.000       77.84600    
   459.0000       5686.000       75.40557    
   460.0000       6897.000       83.04818    
   461.0000       6062.000       77.85885    
   462.0000       6048.000       77.76889    
   463.0000       6237.000       78.97468    
   464.0000       6462.000       80.38657    
   465.0000       6149.000       78.41556    
   466.0000       6192.000       78.68926    
   467.0000       6243.000       79.01266    
   468.0000       6144.000       78.38367    
   469.0000       6481.000       80.50466    
   470.0000       5939.000       77.06491    
   471.0000       6071.000       77.91662    
   472.0000       5884.000       76.70724    
   473.0000       5926.000       76.98051    
   474.0000       6057.000       77.82673    
   475.0000       6055.000       77.81388    
   476.0000       6360.000       79.74961    
   477.0000       6094.000       78.06408    
   478.0000       6101.000       78.10890    
   479.0000       6296.000       79.34734    
   480.0000       5609.000       74.89326    
   481.0000       5980.000       77.33046    
   482.0000       6156.000       78.46018    
   483.0000       6163.000       78.50478    
   484.0000       5849.000       76.47875    
   485.0000       6018.000       77.57577    
   486.0000       6025.000       77.62087    
   487.0000       6224.000       78.89233    
   488.0000       6024.000       77.61443    
   489.0000       6421.000       80.13114    
   490.0000       5884.000       76.70724    
   491.0000       5873.000       76.63550    
