sample v-GeO2 350K                                           18-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   508.0000       79163.00       281.3592    
   509.0000       83193.00       288.4320    
   510.0000       77948.00       279.1917    
   511.0000       79400.00       281.7801    
   512.0000       81337.00       285.1964    
   513.0000       77759.00       278.8530    
   514.0000       80998.00       284.6015    
   515.0000       78906.00       280.9021    
   516.0000       81984.00       286.3285    
   517.0000       81381.00       285.2736    
   518.0000       80573.00       283.8538    
   519.0000       81141.00       284.8526    
   520.0000       86143.00       293.5013    
   521.0000       77547.00       278.4726    
   522.0000       80570.00       283.8485    
   523.0000       80809.00       284.2692    
   524.0000       79879.00       282.6287    
   525.0000       79589.00       282.1152    
   526.0000       81543.00       285.5573    
   527.0000       81927.00       286.2289    
   528.0000       77872.00       279.0555    
   529.0000       83851.00       289.5704    
   530.0000       79669.00       282.2570    
   531.0000       79511.00       281.9770    
   532.0000       81116.00       284.8087    
   533.0000       79965.00       282.7808    
   534.0000       80151.00       283.1095    
   535.0000       77422.00       278.2481    
   536.0000       84921.00       291.4121    
   537.0000       82288.00       286.8589    
   538.0000       79554.00       282.0532    
   539.0000       79446.00       281.8617    
   540.0000       82222.00       286.7438    
   541.0000       78645.00       280.4372    
   542.0000       81957.00       286.2813    
   543.0000       81766.00       285.9475    
   544.0000       81656.00       285.7551    
   545.0000       82368.00       286.9983    
   546.0000       83199.00       288.4424    
   547.0000       83134.00       288.3297    
   548.0000       81223.00       284.9965    
   549.0000       85906.00       293.0973    
   550.0000       80975.00       284.5611    
   551.0000       80214.00       283.2208    
   552.0000       83221.00       288.4805    
   553.0000       80928.00       284.4785    
   554.0000       83082.00       288.2395    
   555.0000       80149.00       283.1060    
   556.0000       82997.00       288.0920    
   557.0000       83138.00       288.3366    
   558.0000       80601.00       283.9032    
   559.0000       74902.00       273.6823    
   560.0000       79894.00       282.6553    
   561.0000       79393.00       281.7676    
   562.0000       80777.00       284.2130    
   563.0000       79986.00       282.8180    
   564.0000       82386.00       287.0296    
   565.0000       82405.00       287.0627    
   566.0000       84204.00       290.1793    
   567.0000       81743.00       285.9073    
   568.0000       78526.00       280.2249    
   569.0000       84409.00       290.5323    
   570.0000       78355.00       279.9196    
   571.0000       77451.00       278.3002    
   572.0000       83402.00       288.7940    
   573.0000       80209.00       283.2119    
   574.0000       82265.00       286.8188    
   575.0000       78827.00       280.7615    
   576.0000       80688.00       284.0563    
   577.0000       80897.00       284.4240    
   578.0000       78400.00       280.0000    
   579.0000       68882.00       262.4538    
   580.0000       79227.00       281.4729    
   581.0000       78737.00       280.6011    
   582.0000       80694.00       284.0669    
   583.0000       79483.00       281.9273    
   584.0000       80887.00       284.4064    
   585.0000       80133.00       283.0777    
   586.0000       79528.00       282.0071    
   587.0000       80233.00       283.2543    
   588.0000       77087.00       277.6454    
   589.0000       82318.00       286.9111    
   590.0000       75685.00       275.1091    
   591.0000       73814.00       271.6873    
   592.0000       78766.00       280.6528    
   593.0000       73176.00       270.5106    
   594.0000       75815.00       275.3452    
   595.0000       75539.00       274.8436    
   596.0000       77951.00       279.1971    
   597.0000       72359.00       268.9963    
   598.0000       74470.00       272.8919    
   599.0000       70526.00       265.5673    
   600.0000       77196.00       277.8417    
   601.0000       72665.00       269.5645    
   602.0000       74352.00       272.6756    
   603.0000       75400.00       274.5906    
   604.0000       75174.00       274.1788    
   605.0000       74017.00       272.0607    
   606.0000       72823.00       269.8574    
   607.0000       73399.00       270.9225    
   608.0000       73539.00       271.1808    
   609.0000       74879.00       273.6403    
   610.0000       71708.00       267.7835    
   611.0000       71211.00       266.8539    
   612.0000       72997.00       270.1796    
   613.0000       70215.00       264.9811    
   614.0000       71283.00       266.9888    
   615.0000       69361.00       263.3648    
   616.0000       71061.00       266.5727    
   617.0000       71752.00       267.8656    
   618.0000       83532.00       289.0190    
   619.0000       83324.00       288.6590    
   620.0000       101237.0       318.1776    
   621.0000       83643.00       289.2110    
   622.0000       84933.00       291.4327    
   623.0000       85156.00       291.8150    
   624.0000       83787.00       289.4598    
   625.0000       84819.00       291.2370    
   626.0000       84978.00       291.5099    
   627.0000       84023.00       289.8672    
   628.0000       82018.00       286.3878    
   629.0000       85454.00       292.3252    
   630.0000       80086.00       282.9947    
   631.0000       79481.00       281.9237    
   632.0000       84747.00       291.1134    
   633.0000       80129.00       283.0706    
   634.0000       81149.00       284.8666    
   635.0000       79636.00       282.1985    
   636.0000       82903.00       287.9288    
   637.0000       83169.00       288.3904    
   638.0000       81464.00       285.4190    
   639.0000       80927.00       284.4767    
