sample v-GeO2 850K			21-11-07  2000.000K
   396.0000       81723.00       285.8723    
   397.0000       82158.00       286.6322    
   398.0000       79844.00       282.5668    
   399.0000       82341.00       286.9512    
   400.0000       81869.00       286.1276    
   401.0000       80927.00       284.4767    
   402.0000       81270.00       285.0789    
   403.0000       81591.00       285.6414    
   404.0000       82312.00       286.9007    
   405.0000       85264.00       292.0000    
   406.0000       82464.00       287.1655    
   407.0000       81612.00       285.6781    
   408.0000       80184.00       283.1678    
   409.0000       84387.00       290.4944    
   410.0000       75380.00       274.5542    
   411.0000       81234.00       285.0158    
   412.0000       83123.00       288.3106    
   413.0000       80817.00       284.2833    
   414.0000       82170.00       286.6531    
   415.0000       81106.00       284.7911    
   416.0000       82135.00       286.5920    
   417.0000       81571.00       285.6064    
   418.0000       77458.00       278.3128    
   419.0000       76308.00       276.2390    
   420.0000       83306.00       288.6278    
   421.0000       82077.00       286.4908    
   422.0000       85406.00       292.2430    
   423.0000       85206.00       291.9007    
   424.0000       81390.00       285.2893    
   425.0000       84303.00       290.3498    
   426.0000       84742.00       291.1048    
   427.0000       85758.00       292.8447    
   428.0000       82813.00       287.7725    
   429.0000       87311.00       295.4843    
   430.0000       79297.00       281.5972    
   431.0000       81681.00       285.7989    
   432.0000       85541.00       292.4739    
   433.0000       82792.00       287.7360    
   434.0000       84016.00       289.8551    
   435.0000       83385.00       288.7646    
   436.0000       81409.00       285.3226    
   437.0000       84741.00       291.1031    
   438.0000       83487.00       288.9412    
   439.0000       80746.00       284.1584    
   440.0000       86489.00       294.0901    
   441.0000       83849.00       289.5669    
   442.0000       81670.00       285.7796    
   443.0000       80907.00       284.4416    
   444.0000       82886.00       287.8993    
   445.0000       83785.00       289.4564    
   446.0000       82823.00       287.7899    
   447.0000       83318.00       288.6486    
   448.0000       81572.00       285.6081    
   449.0000       87460.00       295.7364    
   450.0000       79991.00       282.8268    
   451.0000       81769.00       285.9528    
   452.0000       83850.00       289.5686    
   453.0000       81433.00       285.3647    
   454.0000       80867.00       284.3712    
   455.0000       82019.00       286.3896    
   456.0000       83608.00       289.1505    
   457.0000       82048.00       286.4402    
   458.0000       80725.00       284.1215    
   459.0000       77708.00       278.7615    
   460.0000       93639.00       306.0049    
   461.0000       81049.00       284.6911    
   462.0000       81460.00       285.4120    
   463.0000       84102.00       290.0034    
   464.0000       83674.00       289.2646    
   465.0000       83571.00       289.0865    
   466.0000       82285.00       286.8536    
   467.0000       84482.00       290.6579    
   468.0000       80865.00       284.3677    
   469.0000       86600.00       294.2788    
   470.0000       80834.00       284.3132    
   471.0000       81012.00       284.6261    
   472.0000       80276.00       283.3302    
   473.0000       79623.00       282.1755    
   474.0000       80462.00       283.6582    
   475.0000       80767.00       284.1953    
   476.0000       83759.00       289.4115    
   477.0000       82014.00       286.3809    
   478.0000       79316.00       281.6310    
   479.0000       82960.00       288.0278    
   480.0000       75042.00       273.9380    
   481.0000       81042.00       284.6788    
   482.0000       82117.00       286.5606    
   483.0000       80726.00       284.1232    
   484.0000       78757.00       280.6368    
   485.0000       79576.00       282.0922    
   486.0000       81104.00       284.7876    
   487.0000       82430.00       287.1063    
   488.0000       79642.00       282.2091    
   489.0000       85603.00       292.5799    
   490.0000       78267.00       279.7624    
   491.0000       77916.00       279.1344    
   492.0000       82030.00       286.4088    
   493.0000       79762.00       282.4217    
   494.0000       80093.00       283.0071    
