sample v-GeO2 1000K                                          22-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   325.0000       81222.00       284.9948    
   326.0000       80188.00       283.1749    
   327.0000       80238.00       283.2631    
   328.0000       77137.00       277.7355    
   329.0000       83711.00       289.3285    
   330.0000       76437.00       276.4724    
   331.0000       77152.00       277.7625    
   332.0000       79950.00       282.7543    
   333.0000       76551.00       276.6785    
   334.0000       76942.00       277.3842    
   335.0000       77202.00       277.8525    
   336.0000       76613.00       276.7905    
   337.0000       77386.00       278.1834    
   338.0000       76073.00       275.8134    
   339.0000       75092.00       274.0292    
   340.0000       81514.00       285.5066    
   341.0000       76904.00       277.3157    
   342.0000       78675.00       280.4906    
   343.0000       80489.00       283.7058    
   344.0000       81491.00       285.4663    
   345.0000       83134.00       288.3297    
   346.0000       79594.00       282.1241    
   347.0000       79674.00       282.2658    
   348.0000       79698.00       282.3083    
   349.0000       84390.00       290.4996    
   350.0000       75474.00       274.7253    
   351.0000       78827.00       280.7615    
   352.0000       81237.00       285.0211    
   353.0000       77955.00       279.2042    
   354.0000       78040.00       279.3564    
   355.0000       79573.00       282.0869    
   356.0000       82736.00       287.6387    
   357.0000       80117.00       283.0495    
   358.0000       79201.00       281.4267    
   359.0000       83693.00       289.2974    
   360.0000       81860.00       286.1119    
   361.0000       77673.00       278.6988    
   362.0000       79858.00       282.5916    
   363.0000       81801.00       286.0087    
   364.0000       80510.00       283.7428    
   365.0000       80037.00       282.9081    
   366.0000       79228.00       281.4747    
   367.0000       81070.00       284.7279    
   368.0000       79527.00       282.0053    
   369.0000       83747.00       289.3907    
   370.0000       75053.00       273.9580    
   371.0000       76560.00       276.6948    
   372.0000       82628.00       287.4509    
   373.0000       78884.00       280.8629    
   374.0000       78777.00       280.6724    
   375.0000       79420.00       281.8156    
   376.0000       80471.00       283.6741    
   377.0000       80282.00       283.3408    
   378.0000       77249.00       277.9370    
   379.0000       74247.00       272.4830    
   380.0000       81596.00       285.6501    
   381.0000       73937.00       271.9136    
   382.0000       77581.00       278.5337    
   383.0000       80806.00       284.2640    
   384.0000       79661.00       282.2428    
   385.0000       80987.00       284.5822    
   386.0000       80738.00       284.1443    
   387.0000       82806.00       287.7603    
   388.0000       78381.00       279.9661    
   389.0000       84176.00       290.1310    
   390.0000       77651.00       278.6593    
   391.0000       79887.00       282.6429    
   392.0000       80850.00       284.3413    
   393.0000       77414.00       278.2337    
   394.0000       80792.00       284.2393    
   395.0000       81072.00       284.7314    
   396.0000       81673.00       285.7849    
   397.0000       82068.00       286.4751    
   398.0000       79676.00       282.2694    
   399.0000       83479.00       288.9273    
   400.0000       82533.00       287.2856    
   401.0000       81241.00       285.0281    
   402.0000       81611.00       285.6764    
   403.0000       82069.00       286.4769    
   404.0000       82360.00       286.9843    
   405.0000       85205.00       291.8990    
   406.0000       82725.00       287.6195    
   407.0000       82413.00       287.0766    
   408.0000       80820.00       284.2886    
   409.0000       84605.00       290.8694    
   410.0000       76050.00       275.7716    
   411.0000       81028.00       284.6542    
   412.0000       83226.00       288.4892    
   413.0000       80558.00       283.8274    
   414.0000       82218.00       286.7368    
   415.0000       81168.00       284.9000    
   416.0000       82591.00       287.3865    
   417.0000       81228.00       285.0052    
   418.0000       77431.00       278.2643    
   419.0000       75930.00       275.5540    
   420.0000       83145.00       288.3488    
   421.0000       81529.00       285.5328    
   422.0000       84988.00       291.5270    
   423.0000       84290.00       290.3274    
   424.0000       81743.00       285.9073    
   425.0000       84223.00       290.2120    
   426.0000       84038.00       289.8931    
   427.0000       85297.00       292.0565    
   428.0000       82722.00       287.6143    
   429.0000       87283.00       295.4370    
   430.0000       79621.00       282.1719    
   431.0000       81561.00       285.5889    
   432.0000       84938.00       291.4413    
   433.0000       82153.00       286.6234    
   434.0000       83163.00       288.3799    
   435.0000       83160.00       288.3748    
   436.0000       82133.00       286.5886    
   437.0000       84289.00       290.3257    
   438.0000       82586.00       287.3778    
   439.0000       80408.00       283.5630    
   440.0000       85633.00       292.6312    
   441.0000       83032.00       288.1527    
   442.0000       81376.00       285.2648    
   443.0000       81020.00       284.6401    
   444.0000       82067.00       286.4734    
   445.0000       83307.00       288.6295    
   446.0000       82422.00       287.0923    
   447.0000       83114.00       288.2950    
   448.0000       81069.00       284.7262    
   449.0000       87212.00       295.3168    
   450.0000       79315.00       281.6292    
   451.0000       81654.00       285.7516    
   452.0000       83331.00       288.6711    
   453.0000       81176.00       284.9140    
   454.0000       80669.00       284.0229    
   455.0000       81081.00       284.7473    
   456.0000       83114.00       288.2950    
   457.0000       81601.00       285.6589    
   458.0000       80354.00       283.4678    
   459.0000       76946.00       277.3914    
   460.0000       94137.00       306.8175    
   461.0000       80832.00       284.3097    
   462.0000       81688.00       285.8111    
   463.0000       83938.00       289.7206    
   464.0000       83669.00       289.2560    
   465.0000       83275.00       288.5741    
   466.0000       81761.00       285.9388    
   467.0000       84531.00       290.7422    
   468.0000       80829.00       284.3044    
   469.0000       86918.00       294.8186    
   470.0000       79987.00       282.8197    
   471.0000       80324.00       283.4149    
   472.0000       80581.00       283.8679    
   473.0000       79379.00       281.7428    
   474.0000       79552.00       282.0497    
   475.0000       80066.00       282.9594    
   476.0000       84073.00       289.9534    
   477.0000       81338.00       285.1982    
   478.0000       79621.00       282.1719    
   479.0000       82737.00       287.6404    
   480.0000       74709.00       273.3295    
   481.0000       81329.00       285.1824    
   482.0000       81822.00       286.0454    
   483.0000       80743.00       284.1531    
   484.0000       78738.00       280.6029    
