Ni powder for wavelenght calibration                         25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   451.0000       3580.000       59.83310    
   452.0000       3407.000       58.36951    
   453.0000       3303.000       57.47173    
   454.0000       3311.000       57.54129    
   455.0000       3162.000       56.23166    
   456.0000       3277.000       57.24509    
   457.0000       3030.000       55.04544    
   458.0000       3023.000       54.98182    
   459.0000       2774.000       52.66878    
   460.0000       3388.000       58.20653    
   461.0000       2864.000       53.51635    
   462.0000       2774.000       52.66878    
   463.0000       2922.000       54.05553    
   464.0000       2862.000       53.49767    
   465.0000       2812.000       53.02829    
   466.0000       2803.000       52.94337    
   467.0000       2978.000       54.57106    
   468.0000       2933.000       54.15718    
   469.0000       3181.000       56.40036    
   470.0000       2995.000       54.72659    
   471.0000       3093.000       55.61475    
   472.0000       3141.000       56.04462    
   473.0000       3139.000       56.02678    
   474.0000       3086.000       55.55178    
   475.0000       3292.000       57.37595    
   476.0000       3437.000       58.62593    
   477.0000       3560.000       59.66574    
   478.0000       3444.000       58.68560    
   479.0000       3629.000       60.24118    
   480.0000       3331.000       57.71482    
   481.0000       3708.000       60.89335    
   482.0000       3663.000       60.52272    
   483.0000       3703.000       60.85228    
   484.0000       3644.000       60.36555    
   485.0000       3714.000       60.94260    
   486.0000       3867.000       62.18521    
   487.0000       3791.000       61.57110    
   488.0000       3813.000       61.74949    
   489.0000       4139.000       64.33506    
   490.0000       3660.000       60.49793    
   491.0000       3769.000       61.39218    
   492.0000       3977.000       63.06346    
   493.0000       3848.000       62.03225    
   494.0000       4023.000       63.42712    
   495.0000       3940.000       62.76942    
   496.0000       4005.000       63.28507    
   497.0000       4143.000       64.36614    
   498.0000       4056.000       63.68673    
   499.0000       4054.000       63.67103    
   500.0000       3895.000       62.40993    
   501.0000       4043.000       63.58459    
   502.0000       3995.000       63.20601    
   503.0000       3845.000       62.00806    
   504.0000       3910.000       62.52999    
   505.0000       3829.000       61.87891    
   506.0000       3833.000       61.91123    
   507.0000       3776.000       61.44917    
   508.0000       3516.000       59.29587    
   509.0000       3876.000       62.25753    
   510.0000       3478.000       58.97457    
   511.0000       3594.000       59.94998    
   512.0000       3720.000       60.99180    
   513.0000       3593.000       59.94164    
   514.0000       3624.000       60.19967    
   515.0000       3615.000       60.12487    
   516.0000       3807.000       61.70089    
   517.0000       3906.000       62.49800    
   518.0000       3774.000       61.43289    
   519.0000       3967.000       62.98412    
   520.0000       4201.000       64.81512    
   521.0000       3836.000       61.93545    
   522.0000       4057.000       63.69458    
   523.0000       4079.000       63.86705    
   524.0000       4004.000       63.27717    
   525.0000       4175.000       64.61424    
   526.0000       4220.000       64.96152    
   527.0000       4320.000       65.72671    
   528.0000       4210.000       64.88451    
   529.0000       4458.000       66.76826    
   530.0000       4053.000       63.66318    
   531.0000       4063.000       63.74166    
   532.0000       4154.000       64.45153    
   533.0000       4070.000       63.79655    
   534.0000       4130.000       64.26508    
   535.0000       3989.000       63.15853    
   536.0000       4231.000       65.04613    
   537.0000       4090.000       63.95311    
   538.0000       3827.000       61.86275    
   539.0000       3849.000       62.04031    
   540.0000       3860.000       62.12890    
   541.0000       3774.000       61.43289    
   542.0000       3704.000       60.86050    
   543.0000       3903.000       62.47400    
   544.0000       3830.000       61.88699    
   545.0000       3761.000       61.32699    
   546.0000       3830.000       61.88699    
   547.0000       3876.000       62.25753    
   548.0000       3765.000       61.35960    
   549.0000       3982.000       63.10309    
   550.0000       3684.000       60.69596    
   551.0000       3704.000       60.86050    
   552.0000       3819.000       61.79806    
   553.0000       3606.000       60.04998    
   554.0000       3561.000       59.67411    
   555.0000       3403.000       58.33524    
   556.0000       3510.000       59.24525    
   557.0000       3427.000       58.54058    
   558.0000       3241.000       56.92978    
   559.0000       2891.000       53.76802    
   560.0000       2977.000       54.56189    
   561.0000       2987.000       54.65345    
   562.0000       2986.000       54.64431    
   563.0000       3011.000       54.87258    
   564.0000       3022.000       54.97272    
   565.0000       3079.000       55.48874    
   566.0000       3011.000       54.87258    
   567.0000       3064.000       55.35341    
   568.0000       2848.000       53.36666    
   569.0000       3210.000       56.65686    
   570.0000       2930.000       54.12947    
   571.0000       3106.000       55.73150    
   572.0000       3142.000       56.05355    
   573.0000       3070.000       55.40758    
   574.0000       3285.000       57.31492    
   575.0000       3164.000       56.24944    
   576.0000       3144.000       56.07138    
   577.0000       3238.000       56.90343    
   578.0000       3093.000       55.61475    
   579.0000       2541.000       50.40833    
   580.0000       3207.000       56.63038    
   581.0000       3309.000       57.52391    
   582.0000       3322.000       57.63680    
   583.0000       3373.000       58.07753    
   584.0000       3199.000       56.55970    
   585.0000       3245.000       56.96490    
   586.0000       3284.000       57.30619    
   587.0000       3410.000       58.39521    
   588.0000       3263.000       57.12268    
   589.0000       3446.000       58.70264    
   590.0000       2998.000       54.75399    
   591.0000       3260.000       57.09641    
   592.0000       3350.000       57.87918    
   593.0000       2984.000       54.62600    
   594.0000       3079.000       55.48874    
   595.0000       3249.000       57.00000    
   596.0000       3350.000       57.87918    
   597.0000       3147.000       56.09813    
   598.0000       3204.000       56.60389    
   599.0000       2981.000       54.59853    
   600.0000       3296.000       57.41080    
   601.0000       3196.000       56.53318    
   602.0000       3291.000       57.36724    
   603.0000       3257.000       57.07013    
   604.0000       3371.000       58.06031    
   605.0000       3254.000       57.04384    
   606.0000       3282.000       57.28874    
   607.0000       3323.000       57.64547    
   608.0000       3257.000       57.07013    
   609.0000       3377.000       58.11196    
   610.0000       3182.000       56.40922    
   611.0000       3228.000       56.81549    
   612.0000       3273.000       57.21014    
   613.0000       3262.000       57.11392    
   614.0000       3185.000       56.43580    
   615.0000       3087.000       55.56078    
   616.0000       3072.000       55.42562    
   617.0000       3175.000       56.34714    
   618.0000       3715.000       60.95080    
   619.0000       3659.000       60.48967    
   620.0000       4494.000       67.03730    
   621.0000       3623.000       60.19136    
   622.0000       3706.000       60.87693    
   623.0000       3679.000       60.65476    
   624.0000       3720.000       60.99180    
   625.0000       3643.000       60.35727    
   626.0000       3627.000       60.22458    
   627.0000       3720.000       60.99180    
   628.0000       3545.000       59.53990    
   629.0000       3742.000       61.17189    
   630.0000       3305.000       57.48913    
   631.0000       3446.000       58.70264    
   632.0000       3675.000       60.62178    
   633.0000       3337.000       57.76677    
   634.0000       3550.000       59.58187    
   635.0000       3493.000       59.10161    
   636.0000       3643.000       60.35727    
   637.0000       3584.000       59.86652    
   638.0000       3539.000       59.48949    
   639.0000       3536.000       59.46428    
