New empty oven                                               26-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   354.0000       681.0000       26.09598    
   355.0000       698.0000       26.41969    
   356.0000       697.0000       26.40076    
   357.0000       680.0000       26.07681    
   358.0000       681.0000       26.09598    
   359.0000       734.0000       27.09243    
   360.0000       727.0000       26.96294    
   361.0000       678.0000       26.03843    
   362.0000       649.0000       25.47548    
   363.0000       679.0000       26.05763    
   364.0000       648.0000       25.45584    
   365.0000       694.0000       26.34388    
   366.0000       666.0000       25.80698    
   367.0000       680.0000       26.07681    
   368.0000       699.0000       26.43861    
   369.0000       727.0000       26.96294    
   370.0000       622.0000       24.93993    
   371.0000       605.0000       24.59675    
   372.0000       683.0000       26.13427    
   373.0000       632.0000       25.13961    
   374.0000       632.0000       25.13961    
   375.0000       684.0000       26.15339    
   376.0000       695.0000       26.36285    
   377.0000       680.0000       26.07681    
   378.0000       638.0000       25.25866    
   379.0000       598.0000       24.45404    
   380.0000       675.0000       25.98076    
   381.0000       606.0000       24.61707    
   382.0000       642.0000       25.33772    
   383.0000       675.0000       25.98076    
   384.0000       686.0000       26.19160    
   385.0000       667.0000       25.82634    
   386.0000       693.0000       26.32489    
   387.0000       690.0000       26.26785    
   388.0000       661.0000       25.70992    
   389.0000       728.0000       26.98148    
   390.0000       678.0000       26.03843    
   391.0000       639.0000       25.27845    
   392.0000       658.0000       25.65151    
   393.0000       592.0000       24.33105    
   394.0000       642.0000       25.33772    
   395.0000       625.0000       25.00000    
   396.0000       676.0000       26.00000    
   397.0000       646.0000       25.41653    
   398.0000       659.0000       25.67100    
   399.0000       690.0000       26.26785    
   400.0000       650.0000       25.49510    
   401.0000       655.0000       25.59297    
   402.0000       641.0000       25.31798    
   403.0000       643.0000       25.35744    
   404.0000       604.0000       24.57641    
   405.0000       665.0000       25.78759    
   406.0000       660.0000       25.69047    
   407.0000       700.0000       26.45751    
   408.0000       618.0000       24.85961    
   409.0000       665.0000       25.78759    
   410.0000       597.0000       24.43358    
   411.0000       673.0000       25.94224    
   412.0000       724.0000       26.90725    
   413.0000       624.0000       24.97999    
   414.0000       638.0000       25.25866    
   415.0000       656.0000       25.61250    
   416.0000       628.0000       25.05993    
   417.0000       630.0000       25.09980    
   418.0000       570.0000       23.87467    
   419.0000       612.0000       24.73863    
   420.0000       645.0000       25.39685    
   421.0000       634.0000       25.17936    
   422.0000       639.0000       25.27845    
   423.0000       641.0000       25.31798    
   424.0000       612.0000       24.73863    
   425.0000       670.0000       25.88436    
