sample v-GeO2 850K babana displaced by -0.8°                 21-11-07    69.693K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   475.0000       2746.000       52.40229    
   476.0000       2921.000       54.04628    
   477.0000       2806.000       52.97169    
   478.0000       2802.000       52.93392    
   479.0000       2851.000       53.39476    
   480.0000       2636.000       51.34199    
   481.0000       2795.000       52.86776    
   482.0000       2852.000       53.40412    
   483.0000       2785.000       52.77310    
   484.0000       2690.000       51.86521    
   485.0000       2765.000       52.58327    
   486.0000       2833.000       53.22593    
   487.0000       2832.000       53.21654    
   488.0000       2672.000       51.69139    
   489.0000       2859.000       53.46962    
   490.0000       2792.000       52.83938    
   491.0000       2725.000       52.20153    
   492.0000       2822.000       53.12250    
   493.0000       2742.000       52.36411    
   494.0000       2795.000       52.86776    
   495.0000       2665.000       51.62364    
   496.0000       2785.000       52.77310    
   497.0000       2885.000       53.71220    
   498.0000       2733.000       52.27810    
   499.0000       2730.000       52.24940    
   500.0000       2738.000       52.32590    
   501.0000       2742.000       52.36411    
   502.0000       2705.000       52.00961    
   503.0000       2659.000       51.56549    
   504.0000       2867.000       53.54437    
   505.0000       2890.000       53.75872    
   506.0000       2885.000       53.71220    
   507.0000       3053.000       55.25396    
   508.0000       2710.000       52.05766    
   509.0000       2931.000       54.13871    
   510.0000       2756.000       52.49762    
   511.0000       2838.000       53.27288    
   512.0000       2749.000       52.43091    
   513.0000       2651.000       51.48786    
   514.0000       2706.000       52.01923    
   515.0000       2763.000       52.56425    
   516.0000       2834.000       53.23532    
   517.0000       2911.000       53.95368    
   518.0000       2731.000       52.25897    
   519.0000       2748.000       52.42137    
   520.0000       3045.000       55.18152    
   521.0000       2646.000       51.43929    
   522.0000       2808.000       52.99057    
   523.0000       2771.000       52.64029    
   524.0000       2823.000       53.13191    
   525.0000       2848.000       53.36666    
   526.0000       2725.000       52.20153    
   527.0000       2972.000       54.51605    
   528.0000       2627.000       51.25427    
   529.0000       3006.000       54.82700    
   530.0000       2693.000       51.89412    
   531.0000       2709.000       52.04805    
   532.0000       2770.000       52.63079    
   533.0000       2802.000       52.93392    
   534.0000       2785.000       52.77310    
   535.0000       2773.000       52.65928    
   536.0000       2844.000       53.32917    
   537.0000       2861.000       53.48832    
   538.0000       2596.000       50.95096    
   539.0000       2716.000       52.11526    
   540.0000       2902.000       53.87021    
   541.0000       2598.000       50.97058    
   542.0000       2770.000       52.63079    
   543.0000       2882.000       53.68426    
   544.0000       2748.000       52.42137    
   545.0000       2856.000       53.44156    
   546.0000       2790.000       52.82045    
   547.0000       3006.000       54.82700    
   548.0000       2728.000       52.23026    
   549.0000       2967.000       54.47018    
   550.0000       2676.000       51.73007    
   551.0000       2748.000       52.42137    
   552.0000       2833.000       53.22593    
   553.0000       2678.000       51.74940    
   554.0000       2768.000       52.61179    
   555.0000       2857.000       53.45091    
   556.0000       2831.000       53.20714    
   557.0000       2908.000       53.92588    
   558.0000       2711.000       52.06726    
   559.0000       2562.000       50.61620    
   560.0000       2782.000       52.74467    
   561.0000       2767.000       52.60228    
   562.0000       2777.000       52.69725    
   563.0000       2741.000       52.35456    
   564.0000       2805.000       52.96225    
   565.0000       2873.000       53.60037    
   566.0000       2797.000       52.88667    
   567.0000       2853.000       53.41348    
   568.0000       2704.000       52.00000    
   569.0000       2877.000       53.63767    
   570.0000       2641.000       51.39066    
   571.0000       2653.000       51.50728    
   572.0000       2819.000       53.09426    
   573.0000       2785.000       52.77310    
   574.0000       2744.000       52.38320    
   575.0000       2796.000       52.87722    
   576.0000       2762.000       52.55473    
   577.0000       2778.000       52.70674    
   578.0000       2632.000       51.30302    
   579.0000       2298.000       47.93746    
   580.0000       2710.000       52.05766    
   581.0000       2652.000       51.49757    
   582.0000       2726.000       52.21111    
   583.0000       2804.000       52.95281    
   584.0000       2829.000       53.18834    
   585.0000       2766.000       52.59277    
   586.0000       2740.000       52.34501    
   587.0000       2784.000       52.76362    
   588.0000       2675.000       51.72040    
   589.0000       2795.000       52.86776    
   590.0000       2541.000       50.40833    
   591.0000       2496.000       49.95998    
   592.0000       2645.000       51.42956    
   593.0000       2462.000       49.61855    
   594.0000       2510.000       50.09990    
   595.0000       2672.000       51.69139    
   596.0000       2571.000       50.70503    
   597.0000       2392.000       48.90808    
   598.0000       2530.000       50.29911    
   599.0000       2337.000       48.34253    
   600.0000       2608.000       51.06858    
   601.0000       2499.000       49.99000    
   602.0000       2647.000       51.44901    
   603.0000       2650.000       51.47815    
   604.0000       2505.000       50.04998    
   605.0000       2531.000       50.30904    
   606.0000       2591.000       50.90187    
   607.0000       2640.000       51.38093    
   608.0000       2479.000       49.78956    
   609.0000       2643.000       51.41011    
   610.0000       2357.000       48.54894    
   611.0000       2435.000       49.34572    
   612.0000       2489.000       49.88988    
   613.0000       2484.000       49.83974    
   614.0000       2433.000       49.32545    
   615.0000       2443.000       49.42671    
   616.0000       2380.000       48.78524    
   617.0000       2410.000       49.09175    
   618.0000       2759.000       52.52618    
   619.0000       2912.000       53.96295    
   620.0000       3519.000       59.32116    
   621.0000       2878.000       53.64700    
   622.0000       2961.000       54.41507    
   623.0000       2942.000       54.24021    
   624.0000       2896.000       53.81450    
   625.0000       2995.000       54.72659    
   626.0000       2860.000       53.47897    
   627.0000       2875.000       53.61903    
   628.0000       2832.000       53.21654    
   629.0000       3042.000       55.15433    
   630.0000       2664.000       51.61395    
   631.0000       2666.000       51.63332    
   632.0000       2840.000       53.29165    
   633.0000       2657.000       51.54610    
   634.0000       2837.000       53.26350    
   635.0000       2746.000       52.40229    
   636.0000       2773.000       52.65928    
   637.0000       2863.000       53.50701    
   638.0000       2770.000       52.63079    
   639.0000       2871.000       53.58171    
