sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   506.0000       72836.00       269.8815    
   507.0000       74383.00       272.7325    
   508.0000       71025.00       266.5052    
   509.0000       75215.00       274.2535    
   510.0000       68356.00       261.4498    
   511.0000       71938.00       268.2126    
   512.0000       72423.00       269.1152    
   513.0000       69866.00       264.3218    
   514.0000       71490.00       267.3761    
   515.0000       71728.00       267.8208    
   516.0000       73564.00       271.2268    
   517.0000       73778.00       271.6211    
   518.0000       71813.00       267.9795    
   519.0000       72975.00       270.1389    
   520.0000       77754.00       278.8441    
   521.0000       70086.00       264.7376    
   522.0000       71825.00       268.0019    
   523.0000       72103.00       268.5200    
   524.0000       71968.00       268.2685    
   525.0000       71647.00       267.6696    
   526.0000       72717.00       269.6609    
   527.0000       74710.00       273.3313    
   528.0000       70460.00       265.4430    
   529.0000       76652.00       276.8610    
   530.0000       70123.00       264.8075    
   531.0000       71804.00       267.9627    
   532.0000       72876.00       269.9556    
   533.0000       71791.00       267.9384    
   534.0000       71099.00       266.6440    
   535.0000       70773.00       266.0320    
   536.0000       75421.00       274.6288    
   537.0000       74546.00       273.0311    
   538.0000       70777.00       266.0395    
   539.0000       71421.00       267.2471    
   540.0000       73291.00       270.7231    
   541.0000       70818.00       266.1165    
   542.0000       72437.00       269.1412    
   543.0000       73758.00       271.5842    
   544.0000       72522.00       269.2991    
   545.0000       73161.00       270.4829    
   546.0000       72864.00       269.9333    
   547.0000       74891.00       273.6622    
   548.0000       72501.00       269.2601    
   549.0000       77074.00       277.6220    
   550.0000       70730.00       265.9511    
   551.0000       71720.00       267.8059    
   552.0000       73872.00       271.7940    
   553.0000       72477.00       269.2155    
   554.0000       72549.00       269.3492    
   555.0000       72233.00       268.7620    
   556.0000       72822.00       269.8555    
   557.0000       73978.00       271.9890    
   558.0000       70264.00       265.0736    
   559.0000       63710.00       252.4084    
   560.0000       70587.00       265.6821    
   561.0000       70843.00       266.1635    
   562.0000       70629.00       265.7612    
   563.0000       71985.00       268.3002    
   564.0000       72298.00       268.8829    
   565.0000       73925.00       271.8915    
   566.0000       73413.00       270.9483    
   567.0000       73476.00       271.0646    
   568.0000       69947.00       264.4749    
   569.0000       76012.00       275.7027    
   570.0000       67598.00       259.9962    
   571.0000       68790.00       262.2785    
   572.0000       73419.00       270.9594    
   573.0000       70765.00       266.0169    
   574.0000       71457.00       267.3144    
   575.0000       70065.00       264.6979    
   576.0000       70410.00       265.3488    
   577.0000       70967.00       266.3963    
   578.0000       67603.00       260.0058    
   579.0000       55493.00       235.5695    
   580.0000       69334.00       263.3135    
   581.0000       70075.00       264.7168    
