Cd 11mm Room Temperature                                     29-11-07  1417.397K
   462.0000       3078.000       55.47972    
   463.0000       3054.000       55.26301    
   464.0000       3226.000       56.79789    
   465.0000       3083.000       55.52477    
   466.0000       3051.000       55.23586    
   467.0000       2971.000       54.50688    
   468.0000       3161.000       56.22277    
   469.0000       2958.000       54.38750    
   470.0000       3132.000       55.96428    
   471.0000       2978.000       54.57106    
   472.0000       3013.000       54.89080    
   473.0000       2979.000       54.58022    
   474.0000       3005.000       54.81788    
   475.0000       2975.000       54.54356    
   476.0000       3004.000       54.80876    
   477.0000       3220.000       56.74504    
   478.0000       3023.000       54.98182    
   479.0000       2947.000       54.28628    
   480.0000       3136.000       56.00000    
   481.0000       2747.000       52.41183    
   482.0000       3087.000       55.56078    
   483.0000       3091.000       55.59676    
   484.0000       2941.000       54.23099    
   485.0000       2907.000       53.91660    
   486.0000       2873.000       53.60037    
   487.0000       2986.000       54.64431    
   488.0000       3027.000       55.01818    
   489.0000       2993.000       54.70832    
   490.0000       3093.000       55.61475    
   491.0000       2958.000       54.38750    
   492.0000       3016.000       54.91812    
   493.0000       3108.000       55.74944    
   494.0000       2987.000       54.65345    
   495.0000       3018.000       54.93633    
   496.0000       2900.000       53.85165    
   497.0000       3044.000       55.17246    
   498.0000       3060.000       55.31727    
   499.0000       2912.000       53.96295    
   500.0000       2994.000       54.71746    
   501.0000       2855.000       53.43220    
   502.0000       2894.000       53.79591    
   503.0000       2855.000       53.43220    
   504.0000       2877.000       53.63767    
   505.0000       2891.000       53.76802    
   506.0000       3069.000       55.39856    
   507.0000       2929.000       54.12024    
   508.0000       3127.000       55.91959    
   509.0000       2916.000       54.00000    
   510.0000       2972.000       54.51605    
   511.0000       2881.000       53.67495    
   512.0000       2876.000       53.62835    
   513.0000       3040.000       55.13620    
   514.0000       2862.000       53.49767    
   515.0000       2829.000       53.18834    
   516.0000       2971.000       54.50688    
   517.0000       3074.000       55.44366    
   518.0000       2994.000       54.71746    
   519.0000       2953.000       54.34151    
   520.0000       3070.000       55.40758    
   521.0000       3155.000       56.16939    
   522.0000       2784.000       52.76362    
   523.0000       2942.000       54.24021    
   524.0000       2948.000       54.29549    
   525.0000       2977.000       54.56189    
   526.0000       2981.000       54.59853    
   527.0000       2958.000       54.38750    
   528.0000       3127.000       55.91959    
   529.0000       2913.000       53.97221    
   530.0000       3164.000       56.24944    
   531.0000       2948.000       54.29549    
   532.0000       2868.000       53.55371    
   533.0000       2986.000       54.64431    
   534.0000       2872.000       53.59105    
   535.0000       3049.000       55.21775    
   536.0000       2859.000       53.46962    
   537.0000       3062.000       55.33534    
   538.0000       3019.000       54.94543    
   539.0000       2963.000       54.43344    
   540.0000       2922.000       54.05553    
   541.0000       2841.000       53.30103    
   542.0000       2799.000       52.90557    
   543.0000       2866.000       53.53503    
   544.0000       3052.000       55.24491    
   545.0000       2914.000       53.98148    
   546.0000       3044.000       55.17246    
   547.0000       2983.000       54.61685    
   548.0000       3087.000       55.56078    
   549.0000       3007.000       54.83612    
   550.0000       3064.000       55.35341    
   551.0000       2919.000       54.02777    
   552.0000       3029.000       55.03635    
   553.0000       2981.000       54.59853    
   554.0000       2929.000       54.12024    
   555.0000       3028.000       55.02727    
   556.0000       2921.000       54.04628    
   557.0000       2993.000       54.70832    
   558.0000       2911.000       53.95368    
   559.0000       2947.000       54.28628    
   560.0000       2706.000       52.01923    
   561.0000       2857.000       53.45091    
   562.0000       2974.000       54.53439    
   563.0000       2859.000       53.46962    
   564.0000       2998.000       54.75399    
   565.0000       2957.000       54.37830    
   566.0000       2983.000       54.61685    
   567.0000       3052.000       55.24491    
   568.0000       3044.000       55.17246    
   569.0000       2826.000       53.16014    
