empty can 300K                                               17-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   488.0000       43824.00       209.3418    
   489.0000       47242.00       217.3522    
   490.0000       43373.00       208.2619    
   491.0000       43281.00       208.0409    
   492.0000       45426.00       213.1338    
   493.0000       44253.00       210.3640    
   494.0000       44983.00       212.0920    
   495.0000       43916.00       209.5614    
   496.0000       44879.00       211.8466    
   497.0000       45917.00       214.2825    
   498.0000       44340.00       210.5706    
   499.0000       44211.00       210.2641    
   500.0000       44201.00       210.2403    
   501.0000       43788.00       209.2558    
   502.0000       44017.00       209.8023    
   503.0000       43942.00       209.6235    
   504.0000       44296.00       210.4662    
   505.0000       46206.00       214.9558    
   506.0000       45445.00       213.1783    
   507.0000       46030.00       214.5460    
   508.0000       44191.00       210.2166    
   509.0000       46608.00       215.8889    
   510.0000       43611.00       208.8325    
   511.0000       45239.00       212.6946    
   512.0000       45294.00       212.8239    
   513.0000       43501.00       208.5689    
   514.0000       45142.00       212.4665    
   515.0000       44928.00       211.9623    
   516.0000       45698.00       213.7709    
   517.0000       45872.00       214.1775    
   518.0000       45242.00       212.7017    
   519.0000       45925.00       214.3012    
   520.0000       48300.00       219.7726    
   521.0000       43636.00       208.8923    
   522.0000       44608.00       211.2061    
   523.0000       45572.00       213.4760    
   524.0000       44843.00       211.7617    
   525.0000       45067.00       212.2899    
   526.0000       45176.00       212.5465    
   527.0000       46645.00       215.9745    
   528.0000       43785.00       209.2487    
   529.0000       47110.00       217.0484    
   530.0000       44328.00       210.5422    
   531.0000       45124.00       212.4241    
   532.0000       45847.00       214.1191    
   533.0000       44690.00       211.4001    
   534.0000       45051.00       212.2522    
   535.0000       43835.00       209.3681    
   536.0000       47370.00       217.6465    
   537.0000       46479.00       215.5899    
   538.0000       44548.00       211.0640    
   539.0000       44625.00       211.2463    
   540.0000       45544.00       213.4104    
   541.0000       43726.00       209.1076    
   542.0000       44983.00       212.0920    
   543.0000       46093.00       214.6928    
   544.0000       45408.00       213.0915    
   545.0000       45806.00       214.0234    
   546.0000       45992.00       214.4575    
   547.0000       46548.00       215.7499    
   548.0000       44989.00       212.1061    
   549.0000       47396.00       217.7062    
   550.0000       44742.00       211.5230    
   551.0000       44831.00       211.7333    
   552.0000       46158.00       214.8441    
   553.0000       45047.00       212.2428    
   554.0000       45368.00       212.9977    
   555.0000       44666.00       211.3433    
   556.0000       45383.00       213.0329    
   557.0000       46270.00       215.1046    
   558.0000       44235.00       210.3212    
   559.0000       41863.00       204.6045    
   560.0000       43474.00       208.5042    
   561.0000       43974.00       209.6998    
   562.0000       43768.00       209.2080    
   563.0000       44526.00       211.0118    
   564.0000       45202.00       212.6076    
   565.0000       45384.00       213.0352    
   566.0000       45257.00       212.7369    
   567.0000       45200.00       212.6029    
   568.0000       42943.00       207.2269    
   569.0000       46033.00       214.5530    
   570.0000       42522.00       206.2086    
   571.0000       43022.00       207.4174    
   572.0000       45370.00       213.0023    
   573.0000       43596.00       208.7966    
   574.0000       44829.00       211.7286    
