sample v-GeO2 1400K                                          25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   544.0000       7339.000       85.66796    
   545.0000       7353.000       85.74963    
   546.0000       7281.000       85.32877    
   547.0000       7297.000       85.42248    
   548.0000       7231.000       85.03529    
   549.0000       7615.000       87.26397    
   550.0000       7093.000       84.21995    
   551.0000       7018.000       83.77351    
   552.0000       7389.000       85.95929    
   553.0000       7148.000       84.54585    
   554.0000       7155.000       84.58723    
   555.0000       7146.000       84.53402    
   556.0000       7367.000       85.83123    
   557.0000       7459.000       86.36550    
   558.0000       7027.000       83.82720    
   559.0000       6449.000       80.30566    
   560.0000       6999.000       83.66003    
   561.0000       7142.000       84.51035    
   562.0000       7191.000       84.79977    
   563.0000       7182.000       84.74668    
   564.0000       7280.000       85.32291    
   565.0000       7425.000       86.16844    
   566.0000       7437.000       86.23804    
   567.0000       7399.000       86.01744    
   568.0000       6916.000       83.16249    
   569.0000       7608.000       87.22385    
   570.0000       6793.000       82.41965    
   571.0000       6875.000       82.91562    
   572.0000       7429.000       86.19165    
   573.0000       7007.000       83.70782    
   574.0000       7073.000       84.10113    
   575.0000       6839.000       82.69825    
   576.0000       6957.000       83.40863    
   577.0000       7106.000       84.29710    
   578.0000       6753.000       82.17664    
   579.0000       5715.000       75.59762    
   580.0000       6930.000       83.24662    
   581.0000       7044.000       83.92854    
   582.0000       7144.000       84.52219    
   583.0000       7106.000       84.29710    
   584.0000       7317.000       85.53947    
   585.0000       7172.000       84.68766    
   586.0000       7056.000       84.00000    
   587.0000       7210.000       84.91172    
   588.0000       6853.000       82.78285    
   589.0000       7371.000       85.85453    
   590.0000       6676.000       81.70679    
   591.0000       6611.000       81.30806    
   592.0000       6898.000       83.05420    
   593.0000       6440.000       80.24961    
   594.0000       6678.000       81.71903    
   595.0000       6708.000       81.90238    
   596.0000       6993.000       83.62416    
   597.0000       6481.000       80.50466    
   598.0000       6464.000       80.39900    
   599.0000       6082.000       77.98717    
   600.0000       6896.000       83.04216    
   601.0000       6339.000       79.61784    
   602.0000       6350.000       79.68689    
   603.0000       6742.000       82.10968    
   604.0000       6731.000       82.04267    
   605.0000       6387.000       79.91871    
   606.0000       6341.000       79.63039    
   607.0000       6639.000       81.48006    
   608.0000       6461.000       80.38035    
   609.0000       6646.000       81.52300    
   610.0000       6175.000       78.58117    
   611.0000       6170.000       78.54935    
   612.0000       6397.000       79.98125    
   613.0000       6177.000       78.59389    
   614.0000       6098.000       78.08969    
   615.0000       6119.000       78.22404    
   616.0000       6105.000       78.13450    
   617.0000       6186.000       78.65113    
   618.0000       7297.000       85.42248    
