Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
121105.022       85895     4169593  0.572E-01
121117.025       86046     4180725  0.571E-01
121129.021       86201     4191926  0.571E-01
121141.029       86521     4201351  0.578E-01
121153.028       86719     4211620  0.574E-01
121205.025       86907     4222084  0.572E-01
121217.025       87150     4235016  0.571E-01
121229.022       87340     4246129  0.569E-01
121241.030       87532     4257850  0.568E-01
121253.028       87734     4269227  0.566E-01
121305.062       87910     4279675  0.565E-01
121317.021       88045     4288974  0.563E-01
121329.026       88235     4299657  0.562E-01
121341.026       88388     4310230  0.562E-01
121353.027       88559     4319768  0.562E-01
121405.029       88726     4330057  0.561E-01
121417.026       88910     4341298  0.559E-01
121429.021       89091     4352405  0.558E-01
121441.029       89254     4362215  0.557E-01
121453.023       89431     4373856  0.555E-01
121505.024       89575     4382526  0.555E-01
121517.025       89732     4393289  0.555E-01
121529.068       89893     4403322  0.554E-01
121541.023       90074     4414139  0.554E-01
121553.021       90213     4423315  0.554E-01
121605.042       90410     4433914  0.553E-01
121617.029       91042     4445012  0.572E-01
121629.043       91354     4455075  0.564E-01
121641.026       91561     4465071  0.559E-01
121653.025       91728     4474079  0.557E-01
121705.027       91880     4483624  0.555E-01
121717.023       92042     4493735  0.553E-01
121729.023       92228     4504688  0.552E-01
121741.022       92532     4515605  0.558E-01
121753.028       92778     4526625  0.553E-01
121805.022       92965     4537167  0.550E-01
121817.025       93217     4549246  0.547E-01
121829.027       93382     4559691  0.546E-01
121841.025       93566     4570990  0.545E-01
121853.029       93871     4582156  0.552E-01
121905.027       94110     4592282  0.548E-01
121917.026       94328     4602779  0.545E-01
121929.024       94520     4612862  0.543E-01
121941.025       94721     4624544  0.541E-01
121953.029       94919     4635294  0.540E-01
122005.025       95094     4646061  0.539E-01
122017.036       95563     4656264  0.549E-01
122029.029       95815     4667409  0.545E-01
122041.022       96011     4679100  0.543E-01
122053.024       96341     4688725  0.545E-01
122105.029       96565     4699107  0.542E-01
122117.026       96775     4710293  0.540E-01
122129.029       96934     4719410  0.538E-01
122141.029       97136     4730746  0.537E-01
122153.029       97286     4740256  0.535E-01
122205.022       97476     4749720  0.535E-01
122217.031       97671     4761488  0.534E-01
122229.028       97863     4772296  0.533E-01
122241.025       98052     4783482  0.533E-01
122253.025       98280     4794639  0.531E-01
122305.029       98409     4803295  0.530E-01
122317.028       98600     4814066  0.529E-01
122329.026       98784     4824932  0.527E-01
122341.025       98969     4835928  0.526E-01
122353.025       99142     4847453  0.526E-01
122405.029       99326     4858599  0.525E-01
122417.029       99516     4870497  0.525E-01
122429.027       99715     4881876  0.524E-01
122441.025       99905     4892087  0.524E-01
122453.029      100076     4902840  0.523E-01
122505.025      100234     4912971  0.523E-01
122517.023      100414     4923367  0.523E-01
122529.049      100636     4933137  0.524E-01
122541.025      100828     4942860  0.523E-01
122553.025      100941     4949958  0.522E-01
122605.021      101104     4959745  0.521E-01
122617.026      101289     4970553  0.520E-01
122629.024      101487     4981033  0.519E-01
122641.031      101650     4991220  0.519E-01
122653.025      101832     5001976  0.519E-01
122705.022      102001     5011368  0.518E-01
122717.029      102201     5022230  0.517E-01
122729.028      102407     5033617  0.516E-01
122741.031      102587     5044247  0.516E-01
122753.026      102770     5055861  0.515E-01
122805.028      102923     5065342  0.514E-01
122817.029      103115     5076423  0.513E-01
122829.028      103269     5087099  0.513E-01
122841.020      103448     5098460  0.513E-01
122853.029      103810     5109461  0.520E-01
122905.021      103998     5119798  0.517E-01
122917.020      104197     5130803  0.515E-01
122929.025      104410     5142186  0.513E-01
122941.025      104609     5153731  0.512E-01
122953.022      104785     5164655  0.512E-01
123005.029      104927     5173353  0.511E-01
123017.025      105109     5184141  0.510E-01
123029.029      105307     5195697  0.509E-01
123041.024      105462     5205131  0.509E-01
123053.035      105655     5215751  0.508E-01
123105.028      105866     5227445  0.507E-01
123117.029      106337     5236244  0.525E-01
123129.029      106608     5245996  0.518E-01
123141.026      106825     5256207  0.514E-01
123153.026      107034     5267211  0.512E-01
123205.025      107242     5277809  0.510E-01
123217.021      107439     5289242  0.508E-01
123229.028      107646     5300403  0.507E-01
123241.022      107819     5311732  0.506E-01
123253.032      107979     5322422  0.505E-01
123305.030      108150     5333919  0.504E-01
123317.048      108300     5342202  0.503E-01
123329.028      108448     5352221  0.502E-01
123341.028      108619     5363759  0.502E-01
123353.060      108820     5375374  0.502E-01
123405.025      109009     5387304  0.501E-01
123417.029      109144     5398572  0.500E-01
123429.022      109316     5409543  0.499E-01
123441.029      109471     5420004  0.499E-01
123453.029      109845     5429583  0.507E-01
123505.027      110083     5440866  0.504E-01
123517.023      110254     5450408  0.502E-01
123529.029      110434     5461791  0.502E-01
123541.029      110599     5471202  0.501E-01
123553.022      110792     5482270  0.500E-01
123605.028      110954     5493591  0.499E-01
123617.039      111411     5504575  0.512E-01
123629.028      111650     5514246  0.507E-01
123641.042      111886     5525205  0.505E-01
123653.029      112106     5535934  0.502E-01
123705.024      112315     5546939  0.501E-01
123717.022      112497     5557664  0.500E-01
123729.028      112731     5568773  0.501E-01
123741.028      112961     5579200  0.498E-01
123753.022      113119     5588567  0.498E-01
123805.025      113333     5599757  0.497E-01
123817.029      113499     5609844  0.496E-01
123829.027      113694     5621246  0.496E-01
123841.026      113862     5631350  0.494E-01
123853.028      114036     5640477  0.494E-01
123905.028      114214     5650874  0.492E-01
123917.026      114381     5661350  0.491E-01
123929.062      114567     5671632  0.490E-01
123941.026      114712     5681976  0.490E-01
123953.022      114892     5691690  0.489E-01
124005.029      115077     5701949  0.489E-01
124017.029      115234     5712021  0.489E-01
124029.024      115414     5723083  0.488E-01
124041.026      115567     5732316  0.487E-01
124053.024      115760     5743126  0.486E-01
124105.029      115955     5753166  0.486E-01
124117.028      116137     5763153  0.485E-01
124129.029      116311     5774354  0.485E-01
124141.029      116496     5785266  0.485E-01
