 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   1.91100 ,    -0.744346552345324E+01 ,     0.431203228664393E+00 ,     0.250927780286073E+01 ,    -0.734713218402515E+01 ,     0.296938144629312E+00 ,    -0.795244381584952E+00 , 
   1.93100 ,    -0.845843289775186E+01 ,    -0.991187154534424E+00 ,     0.270551832578313E+01 ,    -0.835259692541708E+01 ,     0.823542423912108E+00 ,    -0.991619339988977E+00 , 
   1.95100 ,    -0.930559203051417E+01 ,    -0.234663661669490E+01 ,     0.269081443334054E+01 ,    -0.919490705664714E+01 ,     0.128775866180547E+01 ,    -0.127269451761704E+01 , 
   1.97100 ,    -0.990970381477775E+01 ,    -0.346099371990105E+01 ,     0.246628538143105E+01 ,    -0.979920054495804E+01 ,     0.163379410955168E+01 ,    -0.161358800904876E+01 , 
   1.99100 ,    -0.101918474758169E+02 ,    -0.418248870477042E+01 ,     0.204471675768638E+01 ,    -0.100866982912678E+02 ,     0.181605128212445E+01 ,    -0.198040770359464E+01 , 
   2.01100 ,    -0.100776964814187E+02 ,    -0.439367503395632E+01 ,     0.144984571957821E+01 ,    -0.998297633802732E+01 ,     0.180234040550039E+01 ,    -0.233339693698562E+01 , 
   2.03100 ,    -0.950638272632797E+01 ,    -0.402041663943532E+01 ,     0.714902010522884E+00 ,    -0.942683628997504E+01 ,     0.157601038547452E+01 ,    -0.263077761616489E+01 , 
   2.05100 ,    -0.843904356328628E+01 ,    -0.303726171000701E+01 ,    -0.119505911697212E+00 ,    -0.837886726858158E+01 ,     0.113688438883283E+01 ,    -0.283293736341378E+01 , 
   2.07100 ,    -0.686613641400701E+01 ,    -0.146884833333212E+01 ,    -0.100801812686088E+01 ,    -0.682878289000935E+01 ,     0.500978380430278E+00 ,    -0.290656810120027E+01 , 
   2.09100 ,    -0.481268579779128E+01 ,     0.612684788157777E+00 ,    -0.190347962016919E+01 ,    -0.480069701530144E+01 ,    -0.300929783321510E+00 ,    -0.282836000519786E+01 , 
   2.11100 ,    -0.234079169497735E+01 ,     0.309398548391328E+01 ,    -0.276001196320991E+01 ,    -0.235566632598080E+01 ,    -0.122573339614480E+01 ,    -0.258788758526263E+01 , 
   2.13100 ,     0.451037768819798E+00 ,     0.582988301965722E+01 ,    -0.353597304164239E+01 ,     0.408937939595484E+00 ,    -0.222122005203919E+01 ,    -0.218939124707786E+01 , 
   2.15100 ,     0.343188303404982E+01 ,     0.865506216897625E+01 ,    -0.419658180793158E+01 ,     0.336338332997264E+01 ,    -0.322982711377441E+01 ,    -0.165225242664626E+01 , 
   2.17100 ,     0.644558606320931E+01 ,     0.113970227292034E+02 ,    -0.471600721777618E+01 ,     0.635270199689331E+01 ,    -0.419264716959650E+01 ,    -0.101007509703055E+01 , 
   2.19100 ,     0.932064417444447E+01 ,     0.138892513017284E+02 ,    -0.507875937505663E+01 ,     0.920653435535479E+01 ,    -0.505339833185000E+01 ,    -0.308411090101999E+00 , 
   2.21100 ,     0.118821000177073E+02 ,     0.159835432711897E+02 ,    -0.528027378686692E+01 ,     0.117509669594745E+02 ,    -0.576209194808420E+01 ,     0.398709750951359E+00 , 
   2.23100 ,     0.139644920131606E+02 ,     0.175605117688832E+02 ,    -0.532664259080130E+01 ,     0.138214305281780E+02 ,    -0.627816587140992E+01 ,     0.105317208452829E+01 , 
   2.25100 ,     0.154247976289071E+02 ,     0.185374967892589E+02 ,    -0.523351476946369E+01 ,     0.152755926911231E+02 ,    -0.657290103056547E+01 ,     0.159772839347631E+01 , 
   2.27100 ,     0.161542625892176E+02 ,     0.188733249601930E+02 ,    -0.502425523366341E+01 ,     0.160051413004182E+02 ,    -0.663099802909979E+01 ,     0.198109224569322E+01 , 
   2.29100 ,     0.160880678922510E+02 ,     0.185696473067672E+02 ,    -0.472751461152365E+01 ,     0.159454133824359E+02 ,    -0.645125390804020E+01 ,     0.216272755243555E+01 , 
   2.31100 ,     0.152119399868329E+02 ,     0.176688743176723E+02 ,    -0.437441232353880E+01 ,     0.150819784941067E+02 ,    -0.604634211219230E+01 ,     0.211690528710453E+01 , 
   2.33100 ,     0.135650456362798E+02 ,     0.162490095571340E+02 ,    -0.399557052987196E+01 ,     0.134535213380415E+02 ,    -0.544175663905134E+01 ,     0.183565218958192E+01 , 
   2.35100 ,     0.112388123259389E+02 ,     0.144159311918391E+02 ,    -0.361825246630384E+01 ,     0.111506673643771E+02 ,    -0.467403061686739E+01 ,     0.133030260785708E+01 , 
   2.37100 ,     0.837165210069894E+01 ,     0.122938647740458E+02 ,    -0.326385370183727E+01 ,     0.831073127454158E+01 ,    -0.378837744061575E+01 ,     0.631477774729468E+00 , 
   2.39100 ,     0.513991233841493E+01 ,     0.100149152156279E+02 ,    -0.294596881984249E+01 ,     0.510871275693087E+01 ,    -0.283592749272712E+01 ,    -0.212552921038413E+00 , 
   2.41100 ,     0.174570097390416E+01 ,     0.770857223136766E+01 ,    -0.266921057785480E+01 ,     0.174518629685510E+01 ,    -0.187074492671052E+01 ,    -0.113903769811836E+01 , 
   2.43100 ,    -0.159749252337109E+01 ,     0.549206975500312E+01 ,    -0.242889705235891E+01 ,    -0.156799598195578E+01 ,    -0.946807592646834E+00 ,    -0.207521324039905E+01 , 
   2.45100 ,    -0.468026001081794E+01 ,     0.346237110091734E+01 ,    -0.221164938965414E+01 ,    -0.462307208524173E+01 ,    -0.115120429853386E+00 ,    -0.294374440989633E+01 , 
   2.47100 ,    -0.731259467025241E+01 ,     0.169037956029381E+01 ,    -0.199686442001457E+01 ,    -0.723158743209818E+01 ,     0.578889281701751E+00 ,    -0.366870884556324E+01 , 
   2.49100 ,    -0.933783809166219E+01 ,     0.217755575966060E+00 ,    -0.175894903704963E+01 ,    -0.923823846270686E+01 ,     0.109757493751596E+01 ,    -0.418164903568600E+01 , 
   2.51100 ,    -0.106441252163523E+02 ,    -0.943522779469890E+00 ,    -0.147013348420979E+01 ,    -0.105322209759234E+02 ,     0.141278436985410E+01 ,    -0.442720016333259E+01 , 
   2.53100 ,    -0.111723950515680E+02 ,    -0.180896721316416E+01 ,    -0.110362465836385E+01 ,    -0.110551589179974E+02 ,     0.150703036242446E+01 ,    -0.436782848221025E+01 , 
   2.55100 ,    -0.109203122455272E+02 ,    -0.241709496472631E+01 ,    -0.636823383451600E+00 ,    -0.108049660204850E+02 ,     0.137409629156107E+01 ,    -0.398728034998626E+01 , 
   2.57100 ,    -0.994177851860840E+01 ,    -0.282318402958723E+01 ,    -0.543150240534970E-01 ,    -0.983532539896014E+01 ,     0.101908459050299E+01 ,    -0.329244120985316E+01 , 
   2.59100 ,    -0.834207526266036E+01 ,    -0.309193506331629E+01 ,     0.649647304066301E+00 ,    -0.825083270415685E+01 ,     0.457940703416121E+00 ,    -0.231342878843421E+01 , 
   2.61100 ,    -0.626903847457626E+01 ,    -0.328977797903946E+01 ,     0.146941342826024E+01 ,    -0.619820590957389E+01 ,    -0.283494907357734E+00 ,    -0.110188538960428E+01 , 
   2.63100 ,    -0.390099384922281E+01 ,    -0.347756224117966E+01 ,     0.238715080112492E+01 ,    -0.385428876857196E+01 ,    -0.117083947632551E+01 ,     0.272421118931298E+00 , 
   2.65100 ,    -0.143244540465862E+01 ,    -0.370430295916264E+01 ,     0.337311876670317E+01 ,    -0.141183768772744E+01 ,    -0.216284841581729E+01 ,     0.172644111956885E+01 , 
   2.67100 ,     0.941307216293734E+00 ,    -0.400252816312090E+01 ,     0.438703120285638E+01 ,     0.935739172379135E+00 ,    -0.321334115442659E+01 ,     0.316976755142421E+01 , 
