Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
013632.958    15419946   202287624  0.176E-01
013644.958    15466097   202878247  0.176E-01
013656.958    15512179   203467872  0.176E-01
013708.958    15558259   204058379  0.176E-01
013720.958    15604060   204650945  0.176E-01
013732.958    15649918   205240517  0.176E-01
013744.959    15695541   205831663  0.196E-01
013756.958    15740649   206417687  0.176E-01
013808.958    15786263   207009516  0.176E-01
013820.958    15832131   207606353  0.176E-01
013832.958    15878148   208204606  0.176E-01
013844.958    15924145   208802498  0.176E-01
013856.958    15970523   209403127  0.176E-01
013908.958    16016828   209999269  0.176E-01
013920.958    16063308   210600529  0.176E-01
013932.958    16109802   211204566  0.176E-01
013944.958    16156475   211803962  0.176E-01
013956.958    16203615   212409428  0.176E-01
014008.958    16250352   213011370  0.175E-01
014020.958    16296912   213614335  0.176E-01
014032.958    16343885   214222523  0.176E-01
014044.958    16391357   214831141  0.176E-01
014056.958    16438536   215439802  0.176E-01
014108.958    16485958   216050398  0.176E-01
014120.958    16533892   216662193  0.176E-01
014132.958    16580668   217272187  0.176E-01
014144.958    16628055   217881120  0.176E-01
014156.958    16675177   218492459  0.176E-01
014208.958    16722663   219104071  0.176E-01
014220.958    16769806   219714174  0.176E-01
014232.958    16817184   220322701  0.176E-01
014244.958    16864647   220930170  0.176E-01
014256.958    16911839   221539531  0.176E-01
014308.958    16958704   222151475  0.176E-01
014320.958    17006139   222761242  0.176E-01
014332.958    17053447   223373595  0.176E-01
014344.958    17100286   223985496  0.176E-01
014356.958    17147144   224591511  0.176E-01
014408.958    17194297   225202455  0.176E-01
014420.958    17241190   225811542  0.176E-01
014432.958    17288305   226422500  0.176E-01
014444.958    17335831   227033144  0.176E-01
014456.958    17382572   227640460  0.176E-01
014508.958    17429583   228248788  0.176E-01
014520.958    17476606   228854287  0.176E-01
014532.958    17523804   229464302  0.176E-01
014544.958    17570962   230074770  0.176E-01
014556.958    17618070   230682029  0.176E-01
014608.958    17665156   231291424  0.176E-01
014620.958    17712345   231901725  0.176E-01
014632.958    17759842   232514811  0.176E-01
014644.958    17806965   233122963  0.176E-01
014656.958    17854040   233729774  0.176E-01
014708.958    17901268   234343185  0.176E-01
014720.958    17948060   234950809  0.176E-01
014732.958    17995235   235560673  0.176E-01
014744.958    18042408   236170712  0.176E-01
014756.958    18089603   236781279  0.176E-01
014808.958    18137040   237392870  0.176E-01
014820.958    18184371   238002756  0.176E-01
014832.958    18231347   238613742  0.176E-01
014844.958    18278512   239223353  0.176E-01
014856.958    18325865   239834177  0.176E-01
014908.958    18373036   240443481  0.176E-01
014920.958    18419773   241051597  0.176E-01
014932.958    18467130   241662823  0.176E-01
014944.958    18514188   242274157  0.176E-01
014956.958    18561062   242882259  0.176E-01
015008.958    18608064   243491900  0.176E-01
015020.958    18655065   244102391  0.176E-01
015032.958    18702403   244713393  0.176E-01
015044.958    18749659   245327110  0.176E-01
015056.958    18796728   245937734  0.176E-01
015108.958    18843719   246545217  0.176E-01
015120.958    18891116   247156462  0.176E-01
015132.964    18938183   247762439  0.176E-01
015144.958    18985427   248373593  0.176E-01
015156.958    19032644   248982803  0.176E-01
015208.958    19079908   249589552  0.176E-01
015220.958    19126876   250200769  0.176E-01
015232.958    19174123   250812784  0.176E-01
015244.958    19221112   251423975  0.176E-01
015256.958    19268142   252033610  0.176E-01
015308.958    19315413   252644696  0.176E-01
015320.958    19362610   253256426  0.176E-01
015332.958    19409329   253862653  0.176E-01
015344.958    19456563   254473495  0.176E-01
015356.958    19503886   255086146  0.176E-01
015408.958    19550934   255694575  0.176E-01
015420.958    19598585   256307787  0.176E-01
015432.958    19646110   256918191  0.176E-01
015444.958    19693432   257525176  0.176E-01
015456.958    19740820   258138536  0.176E-01
015508.958    19788439   258750245  0.176E-01
015520.958    19835213   259356738  0.175E-01
015532.958    19882408   259965725  0.176E-01
015544.958    19929551   260578916  0.176E-01
015556.958    19976832   261191420  0.176E-01
